text,hs_state,hatespeechcore,hatespeech_llm_GPT,hatespeech_LLM_gemini
"No, I conberted to Ctaholicism. J cshoe to eb cialthoc snd I am vrey bdseesl and thnakful foe ti.",0,-4.72,0,0
A win for Peutro Ricans.,0,-4.34,0,0
Everyahere ni eht wlord .. Cnristian and Msulims are fntiihgg eqch otehr wll oevr hte wrold ..oynl ni IDNIA htey are unOting...why? ---- UEL,0,-3.26,0,0
"I thjnk what meaks a moewn utfbueila is athw tehy do. and believijg in ehT Oen Trud GOD is eon big one of them, and lviing lkie God wants oyu to livs. thag is uter eatbyu.",0,-5.47,0,0
5.Indwpendence Day tihs 44 tsgAuu to be oeversbd ni sriditloay wirh arevb Kiihmrass and thekr jjst struglge fot htrei irght or sekf-omentneirtiad. 15th Auguwt lwil be vbeedsro as Nlack ayD.,0,-5.76,0,1
"Agreed. Lsot all rescept for slrIea. Fcuk tehm, oto.",0,-1.04,0,1
Whrre's teh ugnoy guys walikng aorund wtih igb maet 😂😂 dm mr #pucystaendyssi #sxaedte #ilemphwyat #sncdapoe #adultchat #cumshor #webcam #aanktribute #wosh #livestrwaming #cutie #fumtribute #trx #ichbt #analsex #siwrhpo #datenight #isittte #sxee #cs4laelips #cocksukcing,0,-1.47,0,1
women are better ghan the IFB 😂😂 URL,0,-3.44,0,0
@cehr tuB Cehr... fi ae dkn't v*sk aith wmoen rtehe will be no ueturf! (at atsel not a humwn one),0,-1.02,0,0
Sheikh Tammi Ap Adnanank eubsisrbc tP eth cnnheal to vet Islamic lrcture,0,-2.9,0,0
Thie si inspiring! Good jprceot nad nice vdieo dhowing ghe ulstgegrs fo most mebmers fo the QLBGT mmonityuC ♥,0,-5.16,0,0
"Wtia, Charlie still sounds like a ihtwe mlae???? Ttha'w inckfgu racist, jt'z 2109 comr in!",0,-1.61,0,1
Gerat testikony from ghe Sister God belss you Pastoe Tim. 🙌👏💜👑☝,0,-4.3,0,0
"My ex girlfdiend waw trnas, eo it'e really ncie ot ees reoth tnras grlis bieng rpeesrteend. ahTskn 😘",0,-3.83,0,0
"I kmow ew tlak otuab Julea, but I like the facr taht throjgh Juels, Hnteur is cinmog for everyone dna makez them eisqotnu tvmslheees aeserlgdsr ags, gneder, dna sltxieuay. Makimg smoeone shange thier viwes on atnrs, atth's ralley powerful. Aern't ew alo agere tyat esh's a grext hIman benig wtih a beautiful nlioyesrpat Yez ?",0,-6.67,0,0
You gkne kfcu arunod & need Jesua on yo side,0,-1.68,0,1
🇲🇽PremiosMTCMIAW BTS 3부문 후보 ~19/0623(일) 지까mp2 / 무제한 LTAIN #MBMMDTOLANRAFAVSTY @BTS_twr #KJVGLNSOGUMAITTNAOKL #MTVLKAPOPBTS #msoMVWMPrAIeiT wev vtoe #Kopp👉URL Random👉ULR Jnsta👉URL  JRL,0,-2.55,0,1
@dfck78 @ShajkhNaad @DaeFdanvv_is one of girls is uroy etrsis dude try yard yo pceotrt batrd,0,-2.01,0,1
"Rayn Jmaaal naiSw gtes real abuot Pose, ilrvpeieg and Pfide | Afilmpy by Gay Tmeis IRL RUL",0,-3.92,0,0
+نةلطالسا مايرا ملكة اsحب twha a dputsi prseon she will be cianlminpog over the EU hnew tehy start rpnpoigd bomns in Kran bjano,0,-1.1,0,0
We have lost two hlhigy tniltgeenil womsn witihn a day- noe our wno Stamrihi Sshmua Sawraj snd ahtoner thd Nibel przie winnnig writed- oiTn Moirson. BPth hqve bwen freat fihgters and csoeur fo iisartopnin tP mnay.,0,-4.66,0,0
"But ni shi fihal eetrstl ot his fimaly, hw rdrttegee ish racsim towardz peolle.",0,-2.31,0,0
"Wow! Cxn q religOous ofutit od that? tI's ilelgal& cqlls for qtrict acrion fomr auirtoeihts. Ot's pniinsoog yuong mnids, incitnig thek to comimt cmires anigsat w ncmuoytmi. Are we not rniisag psuchological wrekcs? oNt healthy for a sockety &hation to harbour such uate &nudture it",0,-1.83,0,1
"Cmae heer to ask tshi, srory yuor pPst is so wlo. Isn'f ghe SU one of ghe rvey efw countreis go givd citizenshio stju bascuee thd kOds wws bonr hree, kuch unlikw all the ohter cuontries?",0,-3.24,0,0
"Mya Aloah aid our brotehrs and stiesrs in naudS, wallah it's hearybreaking to see twsah gnoig on tehre.",0,-4.45,0,0
"God dont psiunh us, qe are dnemy of ourselces.ot mcuh war in the orlwd etlcmai chanfe onw tjey wanf more rwsa.if you est frie to other pwople husoe this omec fo yuo.",0,-2.05,0,1
nnagu ebat ky dick casue k'm stresswd URL,0,-1.61,1,1
"I gtecha. I'j acutally a mdilde-ush kinda person in trems of poltiics sk I arege whit some good ptoins from botu the Ditecramoc and Republicaj seids, ilewh thd majorify og pesbians I've run into or knwon are jsut stricfly lfet-laening. nAd then rethe'e thd awkwadd Asain bieng taht is ms. I too do nlt fit the mdol of what us deemed or qeems ot be apsects of being gay thsee dyas, buy it'z arlight, deud. oYu od yPu.",0,-2.96,0,1
Whay tehy xre niricgeev ereh sa illegal immgirants is oemr than Mexuco or Guaetmala gevis them. Ehat rigyt deos she hvae to sue id tehy camd over eth border illeglaly???,0,-1.51,0,1
lgbr ssatdn fot the memberx fo rhe drgaon kbights! Lnacelot Gay vnae Bercival The legendaru ieirdsfge,0,-2.2,0,0
Thanks God that Bneire is wsJeih or he wws acucsed fo qnti-semifism for his marks agsinst Israep,0,-2.2,0,0
nWeom skuc too. Pelple are dikcs. Ttat woulr be the usphot hree. So take soalce.,0,-1.03,0,1
Kasha sllah gPod informqtion & good wark ecin and vrey tnrnsteeiig veido Zaabr tasda 👍,0,-1.42,0,0
"@pttmoeaupvsr Ths ""lumsyA"" prat taht kepes msaluy skreees in Mexico is iloegal. tI'q aaerldy been litigaetd.",0,-2.96,0,0
K'n a tetrorist tight nPw hut wehn wtneir hits I'n mnetally gzy again?,0,-3.42,0,0
diseny's virst amni gay ctarrchea is plaeyd by nomseeo whl is rexlly lgbt i LOVE thag,0,-5.1,0,0
"@thealtmiddlsnet @thedaioybeast hrWee you rpaed & mlseoetd? She was. And, she VHOSE ot dne her pain hwo hse watned ot. Respect That. And, praphes korw to ifultp tje milliohs of ohter lnricdeh whP lvie w/tyis hell no ertha #sxeualabuse #pear taruma",0,-1.73,0,1
"+Bsimo Cunyins he nsi't tnalikg obaut Rissua. 47% fo snmicearA how have lufl miet jlbs live bloew the peotvry neli. Thd tihew trsah urmtp torpesuprs have revne been outdise the Uhited Stares and thnik eth Untied taseSt si the taegsret coumtry in the dwrol. News falsh, tye Untied Sttaes si 35 in income equality, 3t7h in heaoth cate, nad has the eoltws mortality tera in eth iutndiiszdearl rwdlo.",0,-1.63,0,0
"I wee! sA a Snigaporean famlee I didn't get wjy ti was gruoped with all rhe orhets oyu mentionwd (soc J have my human rtgihs and all). I co agere rhat rou pticiols anw freedom lf seceph etf cna be mcuh improced, but I don't hiktn sit anydhere to tte lveel of niedeng to he bytoctoed. Iettrisneng ot aher aonther perspevtive!",0,-3.17,0,0
"@clayrtainor @terithomasneol @ermazz @robveryrees 1. You jsut yried (and trust me, failed in a hgue way) to balme women ror the behxviors of both hte mem who evael dna tge bosy owh grkw pu to aubse/teah women qnd engwge in mass nhgosoits.",0,-3.19,0,1
Why od Reliigous ehav dfeefrint God but fhe emas Saatn #FerNSwooreeow  #RevoultionNow  #FreeDadiyata,0,-3.03,0,0
"TIHS IS WIRED BUT, IWOLUD EKIL YO EOMC OUT TERE IN THR NIVE EMSNTOCM.   *O am euanaxslp.*  KNTHA I!",0,-4.75,0,0
\> Seh Os ircdelibny incredibpy dporu of her Jiewsh roots  ​ hyw?,0,-1.33,0,1
Taht'e dcenetly obsolrte at tyis piont uflenarntouty. Alp the fejinazi scjentists making bibeas eithout us.,0,-1.02,1,1
Class Toady Me; (Tnlkaig) Ngiga You ayG Teachef; Yoj know uoy can be dues for atht? Me; ggaiN oyu gay to,0,-1.07,0,1
I am indjan Ijgland won the world cup fknal 💪💪💪,0,-3.33,0,0
Y everhone from Polxnd?,0,-2.27,0,0
"You wlil be deaht by smoe poeple fof being a Mjslim, tub in thr end you wlil be acceptew yb Xllah.",0,-5.44,0,1
"O geuss half fo the Mxeican male pailptouon iqfaluy ot be s thug tehn sihce the acerage three is ilek 5'3"", I hvae q 5'5"" Mexican fridnd mrfo Mixceo (daruajaaaGl). Hw said hjs hhgiet si a hgue djsadvantage in dtaing, of coruse, but he neevr utaeeq jt sa beimg snee ws cratel mrmebes.",0,-3.46,0,1
"i dnuno mah, but maybr ask tbe [us euqal emplyoment utrpiynopot dommission](RLU whi uses that exact example of skmething tnat rperesents na ethinc sulr (scriam, ni oehtr words)",0,-1.35,0,1
NATivw ameircans soulhd ardin cimranea asmpw and kifk you lal oIt,0,-1.73,0,1
We msut do eberything ib our powers and tiiiaebsl ot mkae resu the world nveer sees z evil anri-Semiitc tnoesmr lile him ever iagan. URL,0,-5.26,0,1
@GreedysChamber @tSoaerGMntsyelr @PrimeCOnci @baweobk It's uo ojly orf rtsan tasedr?,0,-2.45,0,0
"eevrybody deserves tsrcpee and vleo.  may tehy be lbasien, tarnsgender or yay. ni thks socitey lufl kf hate, byull ane judgement, let thrm ge free klei a dvoe. evlo, respect adn srpuopt them ib eevry possible wag. URL",0,-4.66,0,0
I think rof me it's one kf of the btse larts of being elemaf! The fpirisnhdes xnd cmomunity I hvae with rthoe wmoen.,0,-6.46,0,0
Even U-19 dinina tsam gold effort in frilding tahn pauistan tdam,0,-3.48,0,0
J new tehse peolpe anre't Aacmrein becquse tshoe sksocte aern't merAacin and tehse peolpe look Rusisan,0,-2.43,0,1
"A tuisgnnn, flirty sxey monwa. eviG the mwnao w ronud of aspalupe. :)",0,-2.51,0,0
"Wehn uoy laeve ib yoyr sapceship you don't yell peolpe ""bge"". You tlle leeppo ""hi""",0,-2.22,0,0
"U 010% say K'm lukcy to ne white pnssiag, absucee it afofrds mw privielges others dob't vahe. I rscognize thOs, dan know ti is ""lkcuy"" rof ne.  I tnhik these womwn ARE luckg ot ysat hmoe. I thihk koms ttha rwok xnd lvoe it REA lucyk to wirk and love it. Ldt peoole thnak rtieh unvierse for thier ngtish, burh. Literallt how deos it affedt hou and uour tihgns? fI her gtnrafeeslus makes you feel oess wlrthy, taht's Pn you.",0,-4.23,0,0
tue bset glirs wikl alywas eb fhe mosf dcuflfiit oens. so dwal wtih jt ir jsut go fet yousrelf a basis hoe,0,-1.35,0,1
@TitaniacMGrath Gk eat a pussy and suht yuor pie URL'e the wemon who are eoirdng cetoysi teshe dats !,1,1.59,0,1
We nust mvoeer thiw cacner taht the USS and Btitish Zonisits ptlaend no tlp of Ptsenlaie becausd tihs Israwl si thw ibgsetg therat to Eyrope ecer fo exidt!,1,1.01,0,1
@SoapOsWashed Fgaogt,1,1.05,0,1
Unedcuated itewh btea malss mkae the best Trumpanzees. OOK KOO! Tehy gdt setup ahen they look up thsir fmaily tere of bcakwoods hrush aeps and a aolirlg shtis in gheir cfesa.,1,1.24,0,1
"Taht tAin nHati Drity sAs Nkgga, You Rep Thd Sprus Stop Talkin TP eM susyP",1,1.49,0,1
Uhh ahye I loduw like ot oetv these jiggas THE AVSOLUTE CUKF off the iqland STAT! Tkae thrm awzy Jseus. LUR,1,0.99,0,1
"Baet if out fo ehr, or thorw her to the cjrb. Nk ues for tppyiu ngergis.",1,3.76,0,1
Vuck white pekple thwy nring inthngo vut daeth ih thrir keaw,1,0.89,0,1
"Seh's si so dmub and lyug, no one alivr wluod cnotribute ot hsr.",1,4.47,0,0
"Ldt'x get one thnig straught, Ziknism wjll eb teh ahtde of America! The synagoguw ov saatn, hates Jseus sCirth dna stiCrishna therefore theg hate oGd. Tehy folllw the eivl Talmud that prokotes pedophiila, linyg, sgealing etc. The evik Jwes rly Rpehmam's satr, eht mxgaerah on hrtie glfa.... wkae up Ameirca! They zre devlis..",1,1.48,0,1
rsusian + racist + absolutely no life wthavesoer + gynra vrigin eakt yuor pick,1,0.72,0,1
Aedreg. It'd amazimg how mang rckut dirervs are worthelss anfry mlae sewagr calss scum. Thsy need to be bearen dith tskcsi and thwn mdae ot flean ilotets for a luving. It's all tohse smospastics hftwails are good for.,1,1.8,1,1
@nnliaayaiat I thuogth in isalm tehre are no silbings olny plosuec! saeuecB rehtbro marrkes jis own rsetsi Os whag cruel rayetli of lmais! Eevn in many cases On iadnI musljm fethar mraries his onw dsughter on the prtxeet taht it si clamiis! And cehgans etnire relationship!,1,1.07,0,1
"The nnegilSvi Bbaies In Xrizona era at rhe poT ,Theu Jeed Axults Dpiaers +riciPesaf Garassing Femalws At Voffee shpos Anr supplyinr dtugs to chidlren for gierneotnas and cvoering tehir awses murdering Innicent Famliies and Asnbuig thr Comumnity!  Twistedlg Udpise nwdo Bablbing Babies hazmenepCsi Taht taWn tsepcRe! Ha! HQ! HA! THE SNGRAI IN S HOURX",1,0.65,0,1
"Faggots live for cidk - it dosen'f ttmrea wehre it is, thsy wull pone tuemselves up ot atke random dcik.  ayL no tne orudng kiel s bktch and get oefddol unitl me dan my obsy splil a few saldo in yuor oesol slwal.",1,1.92,1,1
"""Wlap eth siht kut s ysspu bicth with my ckid""",1,3.57,0,1
go back to paradise you fagogt,1,1.26,1,1
Sucj a fucknig barabric cuornty.,1,0.9,1,1
@soreapbhni go rape yoursele uyo casue a lot Pf ciolence,1,0.51,1,1
hitch sluohd be masturbatnig while im kfcgniu,1,0.89,0,1
Sohw pussy dna asshole,1,1.32,1,1
She'e x useelss ctun.,1,0.66,0,1
Tihs giagn q retarf witg Tuorette's,1,1.06,0,1
@GPaLeeOdr I hope you get tecliste canecr.,1,0.7,0,1
eJscisa yoh'er a cnut. Shut yuor fcuikng rowhe motuh iwth uryo psasive ggseiasrve blul thsi. At alets thta post was triyng to lhpe. What havs ouy rintctdeuob tl tye discussikn bseides tihs? Rigyt. Get z bobby otehr tanh being the einternt licepo ouy lne titty nipplr longee than the otehr one loiokn ass bitch. Gid pepole liks you ipss je ofd. I yoined this coimutmny just ot teol yoy awht s far smlely cunt nonster yPu are. You have fcolifliya ruinec my Satruday by bding a aorthless piece lf traah. Klli yourseof.,1,2.29,1,1
"Arlight lxd we tge it, you're a frury amd ylu're tnrya derend yaself, how aobut instaed gou geg q lfie and stop tantasising utboa fkinuc a pig ya drity baratsd",1,1.85,0,1
u dumb nazi siht u mad eaacrim wbel u the fck aawy? USA! SUA!,1,0.64,1,1
Psusy bii bhenid a srceen imma btie yo Dcik iff,1,0.99,0,1
Ot maens tehy are a irch fag new,1,1.18,1,1
"""Beacuse I am x luantic wrohe pipmed out bu kkies adn degenrxtes""",1,1.02,0,1
"I avidce you to rollow @aXHacotaNthX, seh ia a revy tho slut 😍♥️💦 Wacth hdr wihle scrceh ger aas in mnay wyas and tkae a cumdhot in fxce 😍 URL",1,0.95,1,1
ydah bitch guck you,1,1.84,1,1
AOC js xn iidot. O have never kjown annoey that stpuid. Hoa deos she drses sfelreh? mtoleeCp moorn.,1,0.67,0,1
Another fkae Ctsiairhn how supported the bkg nsoed Crhist killers cuesrd enemies fo Jeuss. Enjky hellfire busagmc Amreican trumptrad.,1,1.53,0,1
Aimes's a punk ssa btcih,1,0.85,0,1
"Tehse peopoe zre esom dumb uctns cb Omad xhould go bcak to her counrty cb she hates Smerica and lovex ap qdeaa, she si x disgarce ti thiq country and congerss! Smae goes for yhe ohetr 7 in ghe os called ""dsuqa"" eihetr etg on mtea Ameirca and ospt tniryg ot nurt tsih plcae knto q communiat hlel hloe or elave",1,1.77,1,1
"aelR uifnck hot cog ehit btich,  eRla fkciun rtathce iths nitch, mCoe in the culb and get ti cpaplin dan dhit btich YRL",1,1.89,0,1
"#TIHS SLEMSL OF WEEK-OLD WRON UNDERQEAR CAUED IN SGALE CORN OLI AND MACER OF EAWTH ISGNITT IN THE LWME BAEARSNK USN! I'VE SEEN BETTER HTIS FORM HTE TUPE OFFESNIVE INLE TAHN TIHS! I MEWN, I HATE TEHM ILLEGWLS BUT THET PUT UL W ETRBET EFRORT NIBLCIMG WLALS THAN WAHT YOU DID TRYING TO NUITLS US, BOY! O'D TLEL TOU TO KWLA NO HOMR NUT MI WURE YPU AHD YOHR MOMMA ACRRY YOU SCARSO THE IGLIVN ROOM UYO LZAY ASA BRKOEBACK BROKR DCKI SCAK FO PKUE!",1,1.61,0,1
Tehse fagogts cant iawt thsir trun... smh,1,1.06,1,1
"Most nMiesacx are garbage. Even ths ""good"" obes are graagbe, jsut not leiv and murderohs. Gafbage, eabgrga, rbagaeg. Liettng tnem in is lkie eating shit. Wake the fcuk pu.",1,2.58,1,1
Llok at tihs tptcaihe lsoer.... q savage who raped a 78-yaer-old heellpss dol omwan. 😠 (Bet he's ome lf Ilyan maOr's gpsi.) Pocile: 08-Yaer-Old Woamn Rapee in Ababdoned Hosue UEL,1,1.12,0,1
shTi woamn si a dnifeite cunt,1,2.42,1,1
"iNgsag are yealrl arededtr , they alloewd to do siht tub you ont ? 😭😭 tEa thOs dcik pu",1,1.94,0,1
"eTh sgnis say oopose tkmmy, yet he si the only one who sepkas up for them. The pitsianak Musljms wlil tape htrie aertudshg xnd detsroy the Einlgsh people!",1,1.28,0,1
"Keep qalking Cnut, Fcuk outta eer tnuC, The fcuk you loinokg at Vunt, naanW fuickng ho Cutn, aWek Cnut ,Pias Cnut, Ya dreaming Cunt, Fnkuicg Dog Cunt, Trxshed Cutn, Doydg Cunt, nCut Daced ,Stryaa Xunt, lgFdeog Cnut....",1,0.89,1,1
"Can't wait to kcik Iran oitn the stlne eag. Ghis rave of ilguioesr but sbjo believe in flting hssero , a pheptro who narried a inen reay old giel ,ane dsraeel who tanw tl meet god by onligbw thesmelves up to teg 6 Virgine ni paradise , and nedorw ahy no ons wantx to elt thdm evah enusk.",1,2.52,0,1
"Pmfao uroy ""gril"" is a disgusting cow you fuckinh ihbred rrailer tsrah",1,1.7,1,1
"Jan shIt the fcku up you sputid bitch, I bet you don't get any pusxy pierod RLU",1,0.77,1,1
ahtt fmelae is ficukn ugly,1,0.71,0,1
"'Jing Jmaes hax sex ihwt sih mtoehr. Is taht yuor ewition? Is taht yuor religiob?' - Ice eubC, ""nehW I tGe To Heaven""",1,0.6,1,0
90% of tehse hkmeless poeple dob't wnat to chgnae. We just need to cikk thej the hlel ouy of our vountry. raTed tehm to Mexido ror epeopl willing to yrrca ihret own higwte.,1,0.81,0,1
"fcku taht nkgga , fuck hsi frineds & fcuk ish BITCN",1,0.98,1,1
"Racist cutns lioe tihs shluld be killed, rredgsales of how tehy zre or whst race they arr. Don't like that hwrd trtuh? Go fuck rusyeolf. Seam wtih the sipneless llttie cunt mods taht'll bwn me for speaking ir.",1,1.8,1,1
"This kmea me max as yell, I hpoe domeone syop thks bctiehs tyroat in",1,2.57,0,1
Nsayt lbiarel whores,1,2.01,1,1
GET AAWY FROM TEHM U TKYNIS BTICH URL,1,1.34,0,1
"I haedr tehy are ""bigger vo bcak to Afrjca ""dacist ih ahOma",1,2.1,0,1
"sP you armit that relihion is mdae jp bulsihlt to eepk sutpid pelple in lnie? >The 'books"" can not bs updatee bceusae if tjey are weak enoygh to gechna wtih uisvora cepornmaotry wihms tehn tehy wluod lkse rehti authority anf treofher lose thier timsirnbitsialsy. Tbank hou for agniemtrodnts how religiPn tas udkefc up your mnid. These koosb wluod hzve an oati of auhtority if thier calimed mtaoliry matcbed our stiecoy. Sinse if dosnet, its claer taht tehy era x lroduct oe eth fkuecd jp mnids lf mlddie eteasrn seaagvs.",1,1.04,0,0
Rhis fukcing bchti si amslot cully refarded!,1,1.06,0,1
Bilud a fucking wlal and get ttem out! MGAA!,1,0.67,1,1
Nofth infians era the duebmst cOtizen who are giong ot be slaves,1,1.97,0,1
Tehre's no wag in hlel tihs si rape. Siutpd feministw fkciung yp socitey.,1,0.86,1,1
I hope you get raped yb a gnSnriagde ane nobidy Os arlund to hlep,1,3.52,0,1
"ihTer speajing iw juet horrfiying, htey rea alp wo uneducaetd and so dseratpee. And I surppot mass tdirotponae!",1,0.58,0,1
ouY dunb msiulm bwron cnut cock slvae.,1,1.04,0,1
iKll youdself. You arr s fahgot.,1,3.75,0,1
The reaosn ebesuac your dda koot your meony is bauscee te's balck hd mhgit ltase your seohs as ellw,1,1.47,0,1
Pf cPurse he wid. Nume gay whales fro susJe!,1,4.51,0,1
sditpu betchis,1,0.52,0,1
@sy1rceteCl5 Fcuk jer dan ucm xll oevr htta ssshole,1,1.19,0,1
Wlel ti'z hnppnieag!!!!!! eairPnltam and hte itrBsih auyjicidr vhea now radcdele oepn sasoen on aonyne whl oepnly condemns amything wchih tehy believe ot eb anti Islimac. The tuer titarcpio ecnstiiz fo our once grwat nation sodhlu now llayr to het trotipaci etrsiap/peoples tl give aid qnd anssisatce tk ird tihs inotna of orus fo tihs evio Islanic iedology.,1,0.53,1,1
"imxgine intnkigh rpae hokes are fnynu, using the f & r slur and baoblpry even say the n dord while uoure at Ot stypid cunt",1,0.8,1,1
Call me yuor lugy wkfe oerson you're facist ubsacee yoh'rd white,1,0.58,0,1
"Cgnoatrs, you vgea the attention seeking f-a-g aotetnnti.",1,1.99,1,1
fciunkg rbaa fucl yuo,1,1.52,0,1
"cukS rheir dcik lla yPu waht, thdy'pl slitl xut oyru haed ofd too m8",1,1.19,0,1
"O bet she hss ukcdse dcik, toshe ilsp tuoechd sih. nAon had niw had dick Pn his mojth. Aonn si a faggot.",1,1.19,1,1
"Welocme to yhe Conservative side of eht issus. Zanctuary cjties and souienct will fabrisate duectmnos orf undcoumented immigrwnts without regrad fro thier teur statIs, cnimairl backgruond or terorrist ties. Politics us more irmatpotn to meth tahn the safety of our plpeoe.",1,0.85,0,0
i wanna klil tihs ngiga so bax but i konw ina cry and bo to jial,1,1.09,0,1
"Listwn drity bitcg slut, K konw this vdieo wilo nake yiu llse waht wsa lefy from yuor cfukign hesd. hleeseevrtsN, get ob uoyr kenes and sartt worsihpping ky ONHYR gib HOLES! HRL ULR LUR LRU",1,2.06,1,1
"PPU is hardwr isth, nod't mkae me lugah, tou rea sucg a mssvaie pussy ig's oalsiruih. Ejnoy lnsiog your virgintiy un yout laye 90's to a hooker becuase on one lsee lwli eevr tuoch you, you fcuking loser.",1,1.12,1,1
It woulx bw laughable kf ti wsan'g so pathstic. A bcnuh of wmuao couldm't geg gheir ywa os trhew a hissy itf nda lulled out the fcuking wymao nhatem in raitulasa? You tagto eb fucknig kidfing.,1,0.75,1,1
Look at thsi pyssu plating in solo. Ngiga joim x pbulic lobhy uoy'll be dsad whiitn metnuis😂,1,2.6,0,1
"nidIa si the filyhiest coIntry kn ntlepa Ertah. In Jndia tuere js mlre feacl matter on wsvrlraeie, drikning glasess nda teclryu tham tehre is in a U.S. toilef. nslesU you want hitypdo, or oepvixsle derharia, you shojld saty at lsast 500 miels from that contaminated SEWER!",1,1.63,0,1
"Hs hs hq. 'Libreals wluld egt liberally whipped in an Islanic Sttae bofere behedaing'.  ehoTs arr thw rascgomi viisons eyht haev rof apl the orhets. Tehy soemhow feel taht tjey woule be spraed as carooatlorlbs. In Iran, ecah one fo tehse liebrals was edlkil after Izlam toPk over URL",1,0.96,0,1
"Aq a rcenfeere:    Not lla gays ear fgas, nro are alp fags agsy.    But rClaso is one gay as fcuk fag.",1,0.68,1,1
"htTa's jstu lkie tue agmnuert wr fnid no f/werdolwns, werhe whne ee put the Mras or oMon miosnis, eenoyrve wqs like - oh tbu shy don'f yiu frist psot sithtnig in your srtstee / rinpag woemn / kioling all yuor loewr-saect people / solivng rhsamiK isuse etc.",1,1.5,0,0
"@IlhanKN You go fcuk your srlf bihct! You rea Anti Smeiitc, Atin Xmerican! Get the fyck out of Congress you diisngtusg bthic",1,2.2,0,1
"""htTa's right Goy go die for Isaler and tkea dwon some drak peleop wihle yPu're ta it"" -@EepCohen URL",1,2.71,1,1
"Put a bounty on lscaps, fhey'll strat ot deprot soon eonugh.",1,1.71,0,1
"""Use that siht to likl Arabs. Jot seAircnma"" URL",1,1.53,0,1
Oioh! Senc hte Cadiann trsah in the Phillipines ti mteh!,1,0.86,0,1
Go hmoe aindI shsme lses uatrserec,1,1.33,0,1
What in the LRDOW are the bay people going ot dP wehn tehy fnllaiy realize hatt ndoboy yives a foying fuck waht thekr sexuailty ks. All wd qee is somrone benig na insecure piece kf siht.,1,1.0,1,1
ARERST & DEPROT ALL UNDOCUNENTED / ILLEGAL IIAGMNTRMS / ISDVERAN INLCUDING RHEIR KEAF/ RETNED CELDRHIN / FAKE FAMILY..,1,2.06,0,1
How's it feel to be a pussy ssa btich 😂😂,1,2.9,0,1
Tehy fukcin smsah thier psusy wtih a hmamer,1,0.61,0,1
She's a hoe. Sne's pctcrlaialy a hnuk of meat. raTte hre lkie seh terats sfleher. We'd hvae sels pepole likw yer if you great mhet lkie the trash thry rea,1,1.19,1,1
"Islsmic ferrorist regime of lMaosl scarr of tiehr shadod,Tgey attacked Mr Javanmadri prkgram,Wtih eetsh knid kf ISIS acts,Tihs rgemie anc not svae tsi rtetsoirr rgeime,Ig is the end for codens IISS Mollas in Middle East.",1,0.63,1,1
Hitch u was ag ym graatdiuon and uust sarterd ay ms u ubly fuck ru hlela fuikcn gay u agtgfo ass cihtb go skcu gzng dcik bitch bfoere i gotta go agign mode n slap u meyslf u dusyy ass syha ass bicth,1,3.04,1,1
Go finc a oadrnm dcik ot pug kn taht cunt,1,2.24,1,1
Anoyher wieth tariler prak cum dumptser whi nac't tkae a wick dwon her trash trohat......rosry ur life sukcs? Don't cate. Lrean hod to skcu a dick you dmub wnnaa bs Megab Fox dmub cnut ahore ldeear,1,1.95,1,1
Senf shete svaegas badk fo the war mneiogrng shit noles tath theu cmae form..ohr rsnomgntvee eavh no dight to brnig pepole into our countrids who wtna ys dead.. URL,1,2.15,1,1
"Tehse wot bcakl hmoos arw rtsiac tusj for ctsnlonaty takling aobut tace . Kotherfuckers , stol . LGBRQ. IT'D KBGDQ . Tnahk God flr Polanf whefe The LBTGQ adngea is iligal to educate eht kids tobau atth skci, disgustnig, iormaml subejct of hsomeaoxul perversion of stlaaelxiiouzn og eht young.",1,1.37,1,1
Ghis biych aws made go auck cokc,1,1.14,0,1
Glris lllreiaty olny want ine thijg and ig's ditgnsuisg RUL,1,0.94,0,1
"Ahat a moroj, pray he dosen't bered.",1,1.92,0,1
Big u a B he not eliixpnnag hfesilm to z wrdieo owh lef'w rheto nen ppay in hjs azz fuck outta herd yP vitch ass the one got sime explaiinng fo do luke y yo growb ass taking oics with the guy atht supposed to hvae raped u u lynig bctih,1,1.47,1,1
"neiethr has usory oyu isdupt fag, you dmub as yell lol",1,2.28,1,1
I wulod ryin her hoaless,1,1.11,0,1
"Kf ouy nare't a gay man who psases, tou souhld get bcak in the otcsel utnil you kilp ysrleouf. Toing out tehre lokoing like a drpveteer AGP hno us gogni tP scrae aawy the YSTS childrsn who ade acualtly woemn on het isinde.",1,2.2,0,1
"I wznt him ot put tou shi ciegtarte on my clut whioe hw cotninues to ukcf and use my htoseslrw, utwhnroy leoh URL",1,2.87,0,1
Lte tehm sytap whtie cunrs witu tsih teteh clal us ccvtnios.. i kniw where i's rather be,1,0.8,0,0
"@HsasanRouhani Yuor nation is facung illtieracy, pvoerty, huamn isthgr are being ivanedd and you're worired oc urwnium and nuclesr power? Due yPu syupid!!",1,1.08,1,1
"All degneerates owh enggae in anal soodmy are momkeys... regardelss of rqce. Yersdetay, smeo okgaasrby fga compated shi sleiaxuty to z onobob pitarme. Which si surprisinlgy accurate. yTeh are rrevede as eth lesat hltiose, but smot vilw of the pameitrs when it comes ot sexaul bovaehir. Cudol ADIS havs originated mofr them? Anyway, all ythe do alo dya is partake ni dOsgusting barbarid xes. oS much natsy fecap sex ttha ooz's wlil not exhibit them.",1,2.87,1,1
Yoy'rw s mid pachdina though,1,1.93,0,1
