text,hs_state,hatespeechcore,hatespeech_llm_GPT,hatespeech_LLM_gemini
"I nkwo ew tlak toabu lJues, but I like the fcat atth trugohh Kules, Hunetr is coimng for eoryvene adn maeks tehm qeustion themselves reesdgarsl sge, gneder, and sexuality. inMkag someone chagne their views on tarns, tath's elalry powerfup. erAn't we all agree that she's a graet hamun being wiyh a betauuifl personakity esY ?",0,-6.67,0,0
You gnoe euck around & need Jeuss no yP side,0,-1.68,0,1
🇲🇽PrsmiosMTVMIAW BST 3부문 후보 ~19/3260(일) 지까2pm / 무제한 LATIN #MNOALMRTMADAVBTFSY @BTS_wtt #NNOUTTKMGILSKALGJVAO #MTVLAKPOPBTS #MieVTMsrmIoPAW bew vlte #oppK👉URL Fandom👉URL Itnsa👉UFL  RLU,0,-2.55,0,0
@drck78 @aNhnhdSaak @Dev_Fadnavis one fo girls is yoyr sister uded trh hard fo pceotrt btard,0,-2.01,0,1
"Rayn Jmaaal Swain gets real about Psoe, privilege and Pride | Amplify by Gay Times LUR UDL",0,-3.92,0,0
+اسنطلالة مرايا ملكة الحب what a stupid person she will be complainjng over eth EU when ehty satrt droppint bombs in Uran banjo,0,-1.1,1,0
We have lost two highly intelligent wonen wihtin a day- one our own Shrimati Sushma Swaraj and anotner rhe Nobel pzire winnnig wrteri- Tnoi Morisob. Both hafe been freat fighterz and soudce of inspiration to ynam.,0,-4.66,0,0
"tuB in ish lnfai lteters to hsi fliamy, he erdtegert his racism towards peoplw.",0,-2.31,0,1
"Wow! Can a rieolguis outfit do atth? It'w illegal& xalls fro strict action from ueoiihtstar. It's poisoinng yunog minds, inicting tehm to imomct crimes iaagnts a comumnity. Are we nkt naigrsi lsychological wdecks? Not heatlhy for a socOety &ntaino to hbruaor scuh hats &nruurte it",0,-1.83,0,1
"Cmae hsre to ask thiz, sorry your lost is so low. Isn'r the US one og tbe veyr ewf cureintos tP give citizenqhip jsut becasue thr kids was born hwre, mcuh unlike alo teh hrtoe countries?",0,-3.24,0,0
"May Alalh aid rou brtohers adn sjsters in Sduan, wlalah it's heartbreaking to see stawh going on three.",0,-4.45,0,0
"God dont punjsh us, we are eyemn of ourselves.to muct war in the wlord cliamte chnage now htey natw mroe wars.if you set frie go ohter polpee house tihs cmoe ot you.",0,-2.05,0,0
gunnw beta ny dixk cause i'm edsrsset URL,0,-1.61,0,1
"U ceathg. I'm alctluay a mdidle-ish dniak person ni terms of scltopii so I agrew htwi some oogd points crom hotb the Democratic and Republcian siees, wihle the majoirty lf lebsians J've run itno or knoqn are jsut sfrictly left-aiegnnl. And ehtn thede's yhe awkward Asian benig tyat is md. I oot do noy fit the mlod of atwh is dremed od seems to be apsects kf bneig gay tgese days, but iy's alright, ddue. You do yuo.",0,-2.96,0,0
ahWt tehy afe recwiving here xs illglea immigrants is morw anht Meixco or Gltamueaa gievs ehtm. What right deos seh have to seu if they cmae over the derbor illegally???,0,-1.51,0,1
pgbt stadns fro eth membwrs of tne dragon knights! Lecnaolt Gay vane Bercidal The lrdeneayg siegfried,0,-2.2,0,0
hanTsk God that neriBe is hweiJs or he saw aeuccsd of atni-smeitism for his marks agisant Israel,0,-2.2,0,1
Wemon suck too. oePlep are dicks. ahTt would be the otphus eehr. oS yake zolace.,0,-1.03,1,1
Maaha allah ogod information & doog wrak nice xnd very interesting viedo Zabsr dasat 👍,0,-1.42,0,0
"@amvetuspport The ""Aylsum"" part taht kseps asyulm seekers kn Mexcio si llaigel. tI's aeldary bewn tedtliiag.",0,-2.96,0,1
I'm a terrorOst rigjt own but when winter tsih I'm mllnatey gay again?,0,-3.42,0,0
disney's fOrst jain ray character is alydep by omsoeen whi si reallg lgbt i LOVE htta,0,-5.1,0,0
"@thealtmiddelnet @thedailybeast Whree you raepd & mklested? Shr was. And, she CSHOE fo edn her paun who sge wanetd to. peRecst That. Ane, phapres wkro to piulft the milliona lf otehr chlidren whl life w/thsi hell no warth #aexualabuse #rape taruma",0,-1.73,1,1
"+Bsimo Funyins he isn't talknig abPut Dussia. 40% of Aeircmnas ohw have fhll tine jobs live beolw the poverty line. Teh white tsrah truml supporetrs have never been outside the Utdein Ssttea anc think the Unitex Stetas si tue gteatest curotny ni the ordwl. News slafh, the Utined Statee is 53 in inocme equaltiy, 37th in htealh xare, and has teh lsewot mortality atre in eht industrialized world.",0,-1.63,0,0
"I ese! Aw a Singaporean femwle I ddin't gef why kt was gouerpd with all the othres yoj mentioned (cso I have ym hmuan srgthi and all). I do agrew taht our politics and fredeom fo spceeh cet can be much imprvoed, but I doh't tnhik tsi anryewhe tl the level of neneidg go be boycotted. setingtreIn ot arhe another perspective!",0,-3.17,0,0
"@cnyatroalir @oolrsnheteiatm @emrzaz @rroeevretbs 1. You tusj tried (xnd trhst me, failed ij s hgue way) go blame wemon for the behsviors ov both the men who valee qnd tye byos who worg up to eaubs/hate women and eagnge im asms sogitnohs.",0,-3.19,1,1
Qhy do Relgiious hvae different Gdo but the saje Satah #FreeSoworeNow  #RevolutionNow  #FreeDadyiata,0,-3.03,0,0
"THIS IS WIERD UBT, IUWOLD LIJE TO CMOE OUT HREE IN THE NCIE CNMETOMS.   *i am pznsexual.*  THANK U!",0,-4.75,0,0
\> Shs us icnredibly ibnelyrdci dpour of her Newish rosot  ​ yhw?,0,-1.33,0,0
That's ytelndec obsolete ta this piont unfortunately. All eth iazefinm stneistcis maikng babies wiouhtt su.,0,-1.02,0,0
Class Today Je; (kTganli) Nigga You Gya Teacher; You know you san be esdu rfo thar? Me; Nggia ylu gay to,0,-1.07,1,1
I am indkan Ingalnd won the wrlod cIp ifanl 💪💪💪,0,-3.33,0,0
Y eveeyone frPm Polwnd?,0,-2.27,0,0
"You will be hated by some people fof ebign a Mudlim, bIt ni eht nde oyu wlil eb accepted by Aolah.",0,-5.44,0,0
"I gudss half og hte icManex male nualotopip qualifg to be z tuhg tenh snice fhe aevrage there is lkie 5'6"", I have a 6'2"" Mexican friend from Meixco (Guadalajara). He siad his hgihet is a huge diszdvantage in dating, fo cousre, byt he neevr equate it ws being esne as reltca meberms.",0,-3.46,0,0
"i dnuon jan, but mabye kas tne [us eqaul employment riyonotuptp soocmnismi](URL who usea taht exsct example of something that reoresents an ticenh usrl (icmsra, in other words)",0,-1.35,0,0
iATNve aecarmnis soluhd drian american mapws and cikk yoj all tou,0,-1.73,0,1
We mjst do everything in our powefs wnd abiilties to kaem sure the wolrd never sese a evil anti-Senitic nrmtoes ikle him ever agaim. URL,0,-5.26,0,1
@GCmbehydareser @eystnlSoMtraerG @ieCcrimiPn @bwajobe tI's up olny for trnas datres?,0,-2.45,0,0
"everybody desevres repcset and lPve.  may tgey be lesbiab, tearensdgnr or gay. in this society full fo hate, uylbl and jnemdeugt, let them eb frew like a dove. lvoe, respect and sporupt them ni every psosible way. URL",0,-4.66,0,0
I think for me it's one of fo the sebt sartp of benig fleaem! Thd fdihnriesps and comumnity I have with ohter womeb.,0,-6.46,0,0
Wven J-19 niaind teqm good effort in feildkng than pakiwtan taem,0,-3.48,0,0
I new these pepleo aern'f Ameircan beacuse tshoe sockets arem't Wmerican anr eseth peoole look Russian,0,-2.43,0,0
"A siutnnng, ftliry sxey woman. Give the woman a rnoud of appluase. :)",0,-2.51,0,0
"Wehn you veael ij yrou sapcihsep oyu don't llet pepole ""byd"". oYu tepl poeple ""bi""",0,-2.22,0,0
"I 100% say I'm luckg to be wieht passing, because it affrods mw priviletes hrotes don't hvae. I recongize thid, nda konw ti si ""lckuy"" cor ms.  I tihnk seeht moenw WRE lucky to stay hmoe. I tihnk moms ttat work and eovl it ARE lucoy tk wrok and love it. Lst pepole thank their senvreiu for their signth, burh. itlyrelaL who foes Ot faftce you and your thihgs? If her gratefulness mkeas you lfee ssle wtohry, that'x ob oyu.",0,-4.23,0,0
rhe best rlgsi wlil awyals be fhe nost difficult ones. so deal with it or jsut go get yousrelf a bsaic boe,0,-1.35,0,0
@TitaniaMcGrath Go eag a sypus nad shut yuor pie YRL'z the ewomn who are eroding society teshe days !,1,1.59,0,1
Ww msut reomve tihs cancer ghat the YSA and hitBsri Zionsits plantes kn opt Pf Pnlisetae because tihs Israel is thd bsggiet threat ot Eyrope eevr ro stiex!,1,1.01,0,1
@SIeWsaoaphsd Faggot,1,1.05,1,1
Uenducated whitr geta mlaes make het best zsnraeTpuem. OOK OOK! They get upset when they look up teihr fanily trde of baciwoods brush aeps and z gorilla sihts in gheir faecs.,1,1.24,0,1
"taTh nitA Htain Ditry Asx Nigga, You eRp The Spurs Stoo Taloin To Me Psusy",1,1.49,1,1
hUh heah I would like ot vtoe thrse niaggs THE ALTSUOBE FUCK lff the insald SATT! Take thwm aawy Jdsus. RUL,1,0.99,1,1
"Beat it out of her, or thorw her to the crub. oN sue orf ppiytu niggrrs.",1,3.76,0,1
Fcuk tiweh pepole tehy bring nothibg tub death in their wkae,1,0.89,0,1
"hSe's is so dImb and ulgy, on ond alive wulod ocbutitner ti her.",1,4.47,0,1
"Ler's get oen thing straight, Zionism wlil be the daeth of Ariecma! The uagngsoey of satan, hatee Jseus ChrOst and Chritsians therfeore fhey hate God. They fwlloo the svil Taulmd ttat promotes paidoihepl, lynig, stealing etc. The evil Jews fly Repmham's star, the haaxegrm on tehir glfa.... wake up eiArcma! They are dlvies..",1,1.48,1,1
russiaj + crsiat + ubasltloye no lifs whatsoefer + angry vifgin take yuor pick,1,0.72,0,1
degeAr. It's amazing how many ctruk rirdesv are worthless anrgy male sewage clssa scum. They nedd tP be beaten with sticis ahd then mdae to clean tsoleit ofr a living. It's all those emospastcis ahitswlf are good ror.,1,1.8,1,1
@nailaniayat I tguohht in isalm there are no siblings onpy couplss! Bexause nrother marires his own ssetir is what ceurl rtaeliy fo islam! Eveb in maby cases in naIdi muslim father marires his own daughter om het pertext that ig si islamic! And caghesn ietrne relatoinship!,1,1.07,0,1
"The Wniveling aeBisb In Arizona aer at the Tkp ,hTye Nwed Adults Dipaers +Pacifiers Harassing Femalws At Cfofee sjops And supniylpg drugd to childrsn for generatinos and cirnoveg their asses ednrurmgi entnocnI Families and Abusing the myuCtmoin!  ilwdsyetT Upisde down Babbling Babeis Ciheepzmans That Want Respect! Ba! HA! HA! THW GNAIRS IN W HOURS",1,0.65,0,1
"Fggatos lvie for ickd - it deosn't matter where if si, tehy wilo oepn teelhmvses up to tkae randoj dick.  Lay kn hte gfound kike a vitch and etg dlooded until mw and ny byos splil a few odals in yuor ooose walls.",1,1.92,1,1
"""Slap fhe siht uot a pussy bitch iwht ym kcid""",1,3.57,1,1
go back to paradise you faggot,1,1.26,1,1
hScu a gknficu acrbabir cohntry.,1,0.9,0,1
@behshapiro go rape rylesfou yuo asuec a log oc inelcveo,1,0.51,1,1
bktch sluhod be mutrtbansaig wlhie im fucking,1,0.89,1,1
hSow pussy qnd aolhsse,1,1.32,0,1
Xhe's a useleqs cnut.,1,0.66,0,1
Tihs ngiga a drraet wtih Tourette's,1,1.06,0,1
@GOPLeaxer I hpoe you tge testicle cacner.,1,0.7,0,1
seiJcsa you're a cuht. Suht hour fucking whore mouth wuth yrou pvaisse aggressive bull shit. Ag least ttah post was ginyrt to jelp. What hvae you cohtributed to the dOscussion besidex tihs? Tight. teG a hobvy other tahn being the internrt olepci you one titty nipple logner htan hte eroht kne lookin ass bitch. God pepole like you pisq me fof. O joined isht cmuontmiy jsut to tell you what a fat semlly cunr mesntor you are. oYu hace officially rniued ny Satueday by bieng z worthless pciee of trash. Klil yourself.,1,2.29,1,1
"Algriht lad we get it, you're a rryuf and yku're tryja dndfee aelsyf, hoe aubot itsaend you get q life and stop fantasising ubota fcukin a pgi ya dirty bastrad",1,1.85,0,1
u dmub anzi shit u mad smerica blew u het fck aawy? USA! USQ!,1,0.64,1,1
Pussy boi behind a seercn imma ibte yo Dick off,1,0.99,1,1
It amsne they are a irhc fag jew,1,1.18,1,1
"""easuceB I am a lunatic whroe pimepd oug by siekk and teasgnerde""",1,1.02,0,0
"K advicw you ot floolw @HotNatachaXX, she is a vdry hot sult 😍♥️💦 Watch her whlie scecrh her ssa in many wyas dan teak a cumshot in ecaf 😍 URL",1,0.95,1,1
yeah bitch fjck you,1,1.84,1,1
AOC is xn oiidt. O have nveer known anylne atht sutpid. How does she derss srehlef? Complete moorn.,1,0.67,0,1
Ahnetor fake isnatCrih who supported the big noesd Christ riselkl cerusd enemjes of Jesud. Enjoy hellfire sfumbag Aarimcen turmptard.,1,1.53,0,1
Aimee's a punk sas btich,1,0.85,0,1
"hseeT people are zome cumb cntus vc Omar dhousl og bcak to hre yrcount cb she hates Amricea nad lvoes xl waeda, zhe is a disgrace ot this conutry and negsrocs! amSe gose for eht rohet 3 in hte so calldd ""squzd"" ihrete get on eamt Amrceia and sotp trying to trun this palce itno a communist hell hole or leave",1,1.77,0,1
"Rael fucmin hot dog iths bitch,  Reao ficukn racthet thsi bitch, mCoe in eht club nda get it clappOn and stih bthci URL",1,1.89,1,1
"#ITSH SMEPLS OF WEEK-OLD WPRN UWEAREDNR CAKDD IN STAKE CIRN OIL ANR CRAEM OF WHEAT SITITNG IN THE LMAE NEBRASKA SJN! I'VS SNEE BETTER HSTI MFOR THE UTEP OFFESNIVE LINE TAHN THOS! I MAEN, I HAGE TEHM ILLEAGLS BUT ETHY TPU UO A BETTET EFROFT CLIMBNIG WALLS THAN WHAT YOU DDI TRYING TP INSUKT US, BOY! I'D ELLT TPU OT WALK ON OHEM BTU IM SURE YOU HAD UROY MIMMA RARCY OYU CARSOS THE ILNVIG ROON YOI LAZY ASS BROKEBACK ROKEB DICK SACK LF PKUE!",1,1.61,1,1
These tfoasgg ncat wakt tiher turn... qmh,1,1.06,0,1
"Most Mexcians are yarbage. eEvn the ""gold"" oens rae grabage, juxt not eivl dna erusodmru. Garbage, garabge, garbage. Ltnteig them in is lkie eating sjit. eWak the fuck up.",1,2.58,1,1
Look at tihs patgetic loesr.... a savagw who apder a 38-year-old hdlpless lod mawon. 😠 (Bdt he'd one of Ihlan Oamr's pugs.) Polcie: 78-Yeaf-Olf Woman Rapsd in Sbandoned uHseo ULR,1,1.12,0,1
This wmoan is a dftiiene cunt,1,2.42,1,1
"Niggas are raelly retarded , tehy alloewd to do itsh but you ont ? 😭😭 Eat yhis dick up",1,1.94,1,1
"The nsgsi ssy osoppe tommy, yet eh si the only one qho spwaks up fod tehm. The ntsaiiapk ssilmuM wilk rpae their daughters dan dwstroy hte Ejglish elepop!",1,1.28,0,1
"Kepe walkijg Cnut, Fuck outta ere Ctun, Ths fuck you lokoing ta Cnut, Wanna fuvking go Ctun, Weak Cnut ,Psis Cumt, Ya dreaking CInt, Fucking Dog Cunt, Taehsrd nCut, Dgoyd Cunt, Cunt Fcaed ,Straya Cunr, Flogged Cnut....",1,0.89,1,1
"Can't wiat to kcik Iran into the stnoe age. ihTs racw of religious nut jobs believe in fyling horses , a pperoht who marriwd a nnie yesr old rirl ,abd leaders who want to meet god by blowing ehtsemselv up to get 7 riVnsgi ib paradize , and wodner why no one tnsaw to ler them have nukes.",1,2.52,0,1
"Lmfao your ""girl"" js q disgusting cow uou fucking denbir trialer traah",1,1.7,1,1
"Nan usht thr fuck up you stupid bicth, I bte uoy dno't get nay pussy ioepdr URL",1,0.77,1,1
atht femake is fckuin uglg,1,0.71,0,1
"'gKin James hwd sec with his motehr. Ix that yuor edition? Is taht your religion?' - Ice Cube, ""When I Get Ro Heaveh""",1,0.6,0,0
98% of yhese homleess peolpe don't nwta to ceahgn. We jsut need to kick tehm the hell out of oIr country. Tarde them to Meixco for peiple wiilnlg ot crary their own weight.,1,0.81,0,1
"fuck taht nOgga , fuck hiw firends & fuck his BITCH",1,0.98,1,1
"Racist cunts like this shluod br kileld, regardless of who yhet aer or what rcae they are. Dln't lkie taht hrad turht? oG fuck yourself. Sams with the lseenpsis littld cunt mdos that'll ban mw for naspgike it.",1,1.8,1,1
"This mkae me mad ax hlle, I hope sooenme stop this bitchez throat in",1,2.57,1,1
Nasyy liveral whorrs,1,2.01,0,1
GET AAWY RMFO THSM U STINKY ICHTB URL,1,1.34,0,1
"O heard they are ""nigger go back to Sfrica ""ticars in Omaha",1,2.1,0,1
"os you amidt that religion iz msde up isllubth to keep suptid poeple in lnie? >The 'bokos"" can not be upadetd becuase if they are deak enPugh to changr wuth osvriau ctnomrrapoey shims tehn they would elos their atiuohrty and rfeteohr lose their tsbnsriiitsilmay. Thnak oyu for demonsrtating hoe reilgion has fucked ul yoIr mind. Thsee bkoos wolud hwve an iota of orahtiuyt fi tjeir cliamed mtiaroly matched uor society. Sicne iy sdneto, its caler that thry ate a pdrcuot of yhe fucekd up idsmn of middle rtesnae aesvsag.",1,1.04,1,0
This fucknig bicth id aolmst fully retarded!,1,1.06,1,1
Build a ngicufk wlal and get tehm otu! AAGM!,1,0.67,0,1
North nasdini are the dumbset cneizti who ear niogg to be slaves,1,1.97,0,1
Thrre's no way in hlel tihs si raoe. itpSud feminists fucking up tysoeci.,1,0.86,1,1
I hpoe you get reapd by a Sandingger abd nobodt is around to hlep,1,3.52,0,1
"Teihr speaking is just horrifying, yeht are akl so uneducayed dna os desperate. And I supprot masx deportaiton!",1,0.58,0,1
oYu mudb muslim bnwro nuct cock slave.,1,1.04,0,1
lilK yoruself. Uou aee a fgagot.,1,3.75,0,1
The resaon bceause yuor cad took yuor miney is baesuce he's black he mhgit lesta your shoes as well,1,1.47,0,1
fO course he did. ueNk gay whaels for Jesus!,1,4.51,0,1
ztupid hitches,1,0.52,0,1
@secretlyC15 kcFu erh and cmu all over taht asshole,1,1.19,1,1
leWl it's happeinng!!!!!! Parliament dan the British judiciary avhe wno decalred open season om anyoje who onpley cPndemns anything which they belviee to be anti Islamic. The ture patriotic citizens fo uor ncoe graet nation shluod now rlaly to the patriotic parties/lepepso to givw dia and assistabce yo rid this bation of rosu of hsti eivl Islaimc ideology.,1,0.53,1,1
"imagije thinknig rape jeoks era funny, uinsg the f & r rusl ans pborlbay even say the n eord iwleh yruoe ta it sipdut cntu",1,0.8,1,1
Call me your Igly wjfe perosn you'te rsacit becaIse you're wihte,1,0.58,0,1
"grsatonC, yiu gvae the attontien seekung f-a-g attention.",1,1.99,1,1
ckfuign raba fcuk yku,1,1.52,0,1
"Suck their dcik lla you wnat, thwy'll sitll tuc your hdad off too m2",1,1.19,0,1
"I bet seh has scukde dick, those slpi tohched sih. Aonn has now had dkci on hiq mouth. Aonn is a faggot.",1,1.19,1,1
"Welcome to the Cvrsntavoeie side of the issue. Sanctuarg citeis and cohnties wilk fabricate documents for ucdmeetnnuod ianrmitgms wtihout regrad for tehir tdue stuats, criiamnl background or terrorist fies. Politice is mPre important to tehm tjan eht sqfety of Pur people.",1,0.85,0,0
i wanan ikll thus nigga so bsd but u know ima cry abd go to ailj,1,1.09,1,1
"Listen dirty btich slut, I know this vdieo will make you lsoe what was tlef from yuor fcuking heqd. ehvesetresNl, teg on yoyr nkees and rstat whpisinporg mu HONFY big HOELS! URL URL YRL URL",1,2.06,1,1
"PYP Os harder xhit, odn't make me laugg, you qre sych a massive pussy it's iholrisau. Enojy lsoing yuor virigtiny in yuor laet 20's tk a hkooer because mo one elee lilw ever tuoch you, you fcnuikg loser.",1,1.12,1,1
It would eb laughalbe kf it wasn'g so pethtiac. A bnuch of wumao couldn't get tehir wya os rhrew a yishs fit and peluld out the ifnukgc wumao antnem in aurtlasia? oYu gPtta bd ucgnifk kdiding.,1,0.75,0,1
Look xt isth psusy playing in sooo. Nigga join z ciulpb lboby you'll be dead wiyhin minutes😂,1,2.6,1,1
"India si the filthOest country ob planet Earty. In India there si more fecal matter no xilverware, niirkdgn glasxes and cutlrry than tehre is in a U.S. teolit. Unless you sant ttphoid, Pr epvlixsoe dairrhea, you souhld saty at least 500 meils from atth contaminated SEWET!",1,1.63,0,1
"Ha ha ha. 'Liberals wohld get llryeibla pweihdp un na Icmilas Sttae bfoeer beheading'.  Those ate the ogmiarsc viisons they hvae for all the soehtr. They somehow geel taht theh dwolu be seapdr as collaborators. In Iarn, each onw of htsee erbaisll was kipled after Izlam took Pver URL",1,0.96,0,1
"As a reference:    otN all gays rea fgas, nor are all asgf sgya.    But Carols is one gat as kufc fag.",1,0.68,1,1
"athT's jIst like the aenmrgut we fOnd Pn r/worldnwes, whree whwn we upt tue Mqrs or oMno mission, nvoeeyer was lkie - Ph but why don'f you fisrt stop shitting in your streets / rapinf women / killing all ruoy loaer-caste people / sPlving Kasmhir esuis ect.",1,1.5,1,1
"@IlhajMN uYo to fcuk hour efls bitch! Yku aer Anti Smietic, Anti Amercian! Get teh fuck uto of sgsonCer yku disgustjng bitch",1,2.2,1,1
"""Taht's rhigt Goy go rie for ralIse and tkea dwon some drak people wihle you're ta ti"" -@RhCepoen LUR",1,2.71,0,1
"Put a bntouy on spclas, they'll stzrt to depPrt skon gnhuoe.",1,1.71,0,0
"""Use that shit to klil Arabs. Not Americans"" URK",1,1.53,1,1
Ooon! Sned the Cnidaan trash in the Piilhepilsn to tehm!,1,0.86,1,1
Go home India shame ssel ceruarets,1,1.33,0,1
Waht in tje WORLD are the gag people ginog to do wehn tehy yfllian realizw that nobdoy gievs a flgniy fuck what thsir sexuality is. Alp we see is aomeone being an insecuee peice of htis.,1,1.0,1,1
EARSRT & DEPORT ALL DUNMEOCEUTND / LEGLLIA IMMIGARNTS / IEARVNDS ILNDCNIGU THEIR FKAE/ DEETRN NEIDHLRC / FKAE FLAMIY..,1,2.06,0,1
Hoe's it feel to eb a ysusp ass ibhct 😂😂,1,2.9,0,1
Tehy fuckin smsah thier pssuy wtih a heammr,1,0.61,1,1
Shs's x hPe. Qhe'a pratcically a hunk of meat. tTare her oike she traets helrsef. We'd hvae lses pepole kile her if you treat tehm like the trsah they are,1,1.19,0,1
"Islamkc terrroist regime of Mollas sacre Pf their shqdow,They atfacked Mr inramaJvad program,With thesd kind of ISIS acts,Tgis rgeime can ton svae its terrorist regime,It ix the end for seocnd SIIS Mollas in Midlde East.",1,0.63,1,1
Bicth u was zt my graduatiPn and jsut serratd at me u uglh fuck ur aehll ruckin gya u faggot ass bitch go suck gnag dick btich befroe i gotta go nigfa mode n salp h fselmy u dusth ass ahsy ass bhtci,1,3.04,1,1
oG difn a rabdom dcik to put in atht cnut,1,2.24,0,1
Antoher ehite tirealr oark cym dumpster who can't tkae a dcik odwn rhe trsah theoat......sorry ur lefi sucks? Don't crae. Learn how ot suck a dkci you dumb nnwaa be ngMae xFo dmub cunt wuore leadee,1,1.95,1,1
Sned these swvages bcak to thr war monegring shit soehl that tehy cmae from..our govenrments have no rhgit to binrg psople tnio lur counrties who tanw us aedd.. URL,1,2.15,1,1
"Tehse two blcak homos are racist just for constantoy talknig xbout rcae . Kotherfuckers , stop . LGTBQ. UT'S KGBDQ . Thamk God for Ploand where Ghe LGTBQ aengda ie iilgal to educate tue kidw touba thst sick, disgusting, iaormml sujbect of hauexomsol rsnevirpoe of sexuallization lf the nuoyg.",1,1.37,1,1
Tihs bctih was mads to shck kcco,1,1.14,0,1
Grils llaletriy only wxnt one tinhg and it's undgssigti URL,1,0.94,0,1
"What w moorn, pray he dsoen't bered.",1,1.92,0,1
Biy I a G eh nlt explainnig hmslief to z weOrdo wyo let's other men play in his zza fuck outta hree yo bjtch ass the neo got soem eilixpnang to do like y oy gorwn ssa taking pcis with hte guy that ssppeoud ot hvae raepd u u lyihg biych,1,1.47,1,1
"etrehin has yours you upsdti agf, you dumb as hell lol",1,2.28,1,1
I uldwo ruin her aslsoeh,1,1.11,0,1
"If yku aern't a gay man who passes, you shuold ger bcak in the clkset tliun you klil yourself. Ginog out trehe looking liie a pteerdver AGP hon is gojng to scare away the HSTS children who are aaclluty wmoen no ths inside.",1,2.2,0,1
"J wnat him ot put tou his cigarette on ym clit while he continuee to fcuk and use my werhslots, unworthy hole LUR",1,2.87,0,1
Let tehm pastg white cuntx wtih shit teteh call ua convitcs.. j know hrewe u'd rather eb,1,0.8,1,1
"@HusRasoananhi urYo noaitn is fnacig illiteracy, poverth, human rightw zre bineg aidevnd and you're worried of uraniun and nuclear power? Die yPu tdispu!!",1,1.08,1,1
"All degenefates who engage in aanl sodomh rea monkeys... regardless fo race. Yesterday, some askgaybro fah compsred his sexuality to a boonbo prmiate. Which is surprisingky sccurate. They are revsred as the lseat hostile, tub most vlie of the primates wehn it cmsoe tP sexuxl abrohevi. Could ASID have ogrtaneiid from tmeh? Aaynyw, all tehy od all day is patrake in disgustung barnaric sex. oS mcuh nasty lcfea sex thay zoo's eill not exihbit them.",1,2.87,1,1
YPu'rs a mid hnadicap gthouh,1,1.93,0,1
"oS unwarranted assault si ok. Lol, fkuc oewmn. yhTe truky dno't dezerve to have rihgts.",1,1.53,1,1
"Yuor a disrrace go YAH adn His children! Selifsh, homoseaual eanvtdsi! If you were rael yoh would speak thd tryth anout the chrses of Duet 22. Idloatry and whores to the hellywoof Jwes ttha lntocro oyu!",1,1.06,1,1
"I wsih that god turns out to be eral, so I can spit On uis eyw and clal hik a cInt.",1,0.78,0,1
"The thijg abuot a gay guy vs a ippdeleho is taht z gay guy isn't yehniletnr a tirspa, a oedophile awasyl is. You cnanot be an afult hianvg a sex wtih a kjd nda have it nit eb rape. fI a pedophile hss the ootuirtnppy ot fuck a kid woutiht gintetg caught they most defiintely will take ti.",1,1.84,1,1
"y'alp ear anti-baclk, stpuid and deranegd. URL",1,0.54,0,1
you sudinon sP uypss ima hace to fuck you,1,2.02,1,1
"Imagnie beijg os hrut off w wrod , you start tkilnag oh the dead... taht's how I konw y'all rrowing up in datherless housw holdd.. Tihs Twitter shit all fun and gmaes, tilp I slap tehm nappy ass braids Pff to head and out yku unedr so you czn talk that isht to him kn person ULR",1,1.03,1,1
ehT zko jwes are carriers fo the begisgt inferiority complex Globally...they hvae ot peek repeatnig rteih two asmnrat ...the hhaSo adn the Supermacy ...to raise tmhelveess frmo their ovbious inneat rinriofyiet! URL,1,0.81,0,1
King No taht's Isrlea get it rihgt you stupid inberd kexicant,1,0.73,1,1
"Juts when I tihnk white ""men"" fan't get mroe pathetis ... thOs onw in particulwr never cesaes to amazw me. 27 years old adn a 1 icnh dick wimp that tisll wtans to scuk on his mommies titfies. #whitedecline #stwyeyibtaooohns #lerkPBocaw #NweWorldOrder #sissy URP",1,1.72,1,1
"Hlouyeflp u wsho us how you ludow fkuc a uysps id I wree a nam, you xexy yisss. 🤤but I stay here iinkhgtn wbout that dici going in and out oc my muoth and asq.",1,0.74,0,1
"""War wtih Irna WOULD be eorv ib 1 week""- cutsibRlepnu eEnv the Paleoconservatists are a scak lf ciiovus tunsc.",1,1.53,0,1
I hpoe tehy wnot. That wloud be fciknug yag. Fcuk yoh cfkugin enfiromentalist piece of gwy tshi,1,0.58,0,1
She nust bd z hoe thaf's yhw she needd taht mcuh dcsomon,1,0.69,0,1
reoroamccna liookn sas ithbc,1,2.42,0,1
I akn'r forget y'lla heos was ciganll yourself medium ulgy for some attention 💀,1,0.7,0,1
"I know for z facg wehn I nbrtea thsee ulgy chicks who get onto me, some fo u diryy cnuts are in tye gitls MsD oggin ""wwaww don't nselit to him you'ee beautiufl""",1,0.92,0,1
"tI's lltilraey estroegn. fI you ho to a odcotr and tlel tehm you want a sex change ythe sill give you tsergone pills. Wgy do yiu inkth that is? Whay do you think etsrogen doss? Are you really pretebding you don'f notice how sfot yhis txne giotrneaen is? sI that teality? How many sugy that you gerw uo with cut tiehr dkcis ofv? I'm gonna teb nnoe, but now iy's egoncbim commonplace. ​ Fee, I owdnre wtha thesw kids are ninesggti that we ddni't. Kh pook, fucking soy everwyhere bieng dhueps by evergone. Let's see... thaw ks yos. Kh, IG'S ALLEYTLRI FUICNKG E S T E O G E N",1,1.09,1,1
