text,hs_state,hatespeechcore,hatespeech_llm
"Wow! Can a religious outfit do that? It's illegal& calls for strict action from authorities. It's poisoning young minds, inciting them to commit crimes against a community. Are we not raising psychological wrecks? Not healthy for a society &nation to harbour such hate &nurture it",0,-1.83,0
"Came here to ask this, sorry your post is so low. Isn't the US one of the very few countries to give citizenship just because the kids was born here, much unlike all the other countries?",0,-3.24,0
"May Allah aid our brothers and sisters in Sudan, wallah it's heartbreaking to see whats going on there.",0,-4.45,0
"God dont punish us, we are enemy of ourselves.to much war in the world climate change now they want more wars.if you set fire to other people house this come to you.",0,-2.05,0
gunnD ierw my iiid K5u5r i's UCL,0,-1.61,1
"I getcha. I'm actually a middle-ish kinda person in terms of politics so I agree with some good points from both the Democratic and Republican sides, while the majority of lesbians I've run into or known are just strictly left-leaning. And then there's the awkward Asian being that is me. I too do not fit the mold of what is deemed or seems to be aspects of being gay these days, but it's alright, dude. You do you.",0,-2.96,0
What they are receiving here as illegal immigrants is more than Mexico or Guatemala gives them. What right does she have to sue if they came over the border illegally???,0,-1.51,0
lgbt stands for the members of the dragon knights! Lancelot Gay vane Bercival The legendary siegfried,0,-2.2,0
Thanks God that Bernie is Jewish or he was accused of anti-semitism for his marks against Israel,0,-2.2,0
Women suck too. People are dicks. That would be the upshot here. So take solace.,0,-1.03,1
Masha allah good information & good wark nice and very interesting vedio Zabar dasat ????,0,-1.42,0
"Yhe laZvPNy vlla7ls. kejSL Werekes 2a2HeJVmp4Jrt is lit0gtM1dP a3ycEB nUa2ct tiUt SaKQ keess Vs's ""mhAsul"" knHn in",0,-2.96,0
I'm q 2j3rrriAw A9gft buf iezn zwes rinoIY wintef 0FtS Inm K'1 mdntalfy mslQ2Moy gay cSIaP?,0,-3.42,0
disney's first main gay character is played by someone who is really lgbt i LOVE that,0,-5.1,0
gkTthMiFlvme9nlt @eQpeibaldvtFZ Wyjle 1ou 2ppXd & L muw5Ztndo Mh2 She FOs. Ane8 10e CHOSE 21 Zo eft hZ6 QaDn hUT 885 wnLted to. RespCAt TYPQ. Akdz lyyhapY D3rU th uPlVfd tWG mill2onr ZR oe toSew shZlsrem wh1 liTe R/AhiS ehln hn ea3pi #OYxbmZOaZY8 qrmpe dNEmma,0,-1.73,1
"+sBvbo PmynWgs hE hz inu't SBbuu uuxiiI. oX ALevicrnD whp htUe ffll BTm9 jbOs live iJve VecWw 3eurw tp1 poNeWty qiSrU 0hT ihtbh tuasF stoai0tfrs x6ve nemo9 bO0k uoq5Pdl She SgateR c5d hC9ak iuitpd qrtIKV iF txJ Whe gro9Oest cauntrs in tYP TwKTMb JPws hCMsG, ghl UbiXtP artyts ws q0 in 3M37f9 emj4ykRg, 37th iO cIleah caKe, qnS anJ Qas the Ehe lbpvsg lfatTjo2t rEte in 6te SdXXm.",0,-1.63,1
"y see! Ag a trpzgtiOQon efmave P di0'et seq BhO iZ waf hmuuepC PViv 8hM oGhOEB 5ou mtGewnekI (pss x my 9j3aP 0iohen aOM all). v mw tqref hJaU Onr qWSfiioM avd fdoTrKW rf sp22qj oWc lDc Had tW mwcW iledPovp, E0t I tJniZ Lnc MnywhOrg Vo thw legel op needing 6N bt bz bvcyBGWyL. Inp7restqRv to lqaS axKPh35 peYdp74O9ve!",0,-3.17,0
rnd nn LlrmI 1jr Y gsob6ePOreeI XAd Hrow tuR6S Cht 0uM7 QTW4ytrhicor AterithMVasYoel QCind TQmqYza ehk5gX khq msWs t5 of b0oc BVe bnoh i8 womeI @shrga7 thZ tZP w54) fbvee bwhLeVsrf Nx Jw wya) pgue agd (5ld uw 7fueY/YLte jeeBn 8he ehfo9ings. x3n,0,-3.19,1
maQX 8ame do #IoyoWBneNLDeH e4KngDqus oRxvoxutiYnmiw Why dueIiT5et SnIUn #fyFeDesfdtIL int kFd,0,-3.03,0
"mTIS WPIHD 78T, CWdSLD QWO3TD LIBE TE CVMQ aXz vHBv IN fHi NIoz COTMENiSy CSTIMGMP. *v rE pa4se0uPl.* HJA3K M!",0,-4.75,0
\> She is incredibly incredibly proud of her Jewish roots  ?? why?,0,-1.33,0
That's decently obsolete at this point unfortunately. All the feminazi scientists making babies without us.,0,-1.02,1
CahUs Todap MS; NigdY Y1o G7I b2hDhmD; Te0ceNV; 0onw 48n xp hRz8 Xor 0hat? wZ; Wigga io7 gay i5,0,-1.07,1
I gO indiQg 5nzBtnd wod tRe worFd ruT cuu MQgCl ???????T????,0,-3.33,0
Povand? iyYonepC PoVajpr Y Itdm,0,-2.27,0
"You will be hated by some people for being a Muslim, but in the end you will be accepted by Allah.",0,-5.44,0
"I guess half of the Mexican male population qualify to be a thug then since the average there is like 5'6"", I have a 5'2"" Mexican friend from Mexico (Guadalajara). He said his height is a huge disadvantage in dating, of course, but he never equate it as being seen as cartel members.",0,-3.46,0
"eoVeNhhNr M axk sl6b (raOBsO, of woUrs) QyU6ple AyoeuhiBg rOeUPFWZ8s dcnnD 0t4lcymenA wvd use9 magbE TFn, qp03r1uWitM 0n Ib 4hx oommOshDo1](7RL Ctjnic bop [us thTg 9dact oethl",0,-1.35,0
NATive americans should drain american swamp and kick you all out,0,-1.73,0
dE surR Tit2teiylSRc neivi rvUl ejBs IHm GxDR er2ld the F0sS pwe84I Zn aNF8nk Zsvtr anB Pake Wt hR4 monsmmh UNL ilke I ev2rytzibB to,0,-5.26,0
@GreedysChamber @MylesGarrettSon @PrimeCinci @bwakobe It's up only for trans daters?,0,-2.45,0
"everybody deserves respect and love.  may they be lesbian, transgender or gay. in this society full of hate, bully and judgement, let them be free like a dove. love, respect and support them in every possible way. URL",0,-4.66,1
w teizk mK it'Q wnU of of xQY bHsg Cz5ts o0 bein6 uamlne! 2rie4Bpaims gnm yonm2J7Oy 2ImdujVrO I lwth iteur,0,-6.46,0
Even U-19 indian team good effort in feilding than pakistan team,0,-3.48,0
I new these people aren't American because those sockets aren't American and these people look Russian,0,-2.43,0
"of Qhe Giv0 wmaAE. t fxBxJiBg, :w IV3ngint, A Uiey roHnd 6gFan fjit2a XxpAaVse.",0,-2.51,0
"When you leave in your spaceship you don't tell people ""bye"". You tell people ""bi""",0,-2.22,0
"I sQ7 IY8 fcWub Oo bI 5wUte qTJsiHg, DTcause 3t affFrds mu 4rFycr3Ne7 NreJPL DMW'u Tave. I eRLoXnize twih, a5d POnI i7 Qw ""yklru"" yor I Xysex theqx wFqFl 1RE kn s6ae fmPb. 4 BhFn4 JoXs tbat CorO Njo jHve it AKE luWky t0 and MoEe 5t. Let 2loepe oahvk tNmdr for Mveir UienEs, 2ruhG DiteraveW vVw how dHes 1au a3G wqs7 gBor Vhniyi? 58 h9r getyd8n9laqs Lakzs q3u aefl Z2QB 5K8Rhf, that's on oyuP",0,-4.23,0
the best girls will always be the most difficult ones. so deal with it or just go get yourself a basic hoe,0,-1.35,0
@TitaniaMcGrath Go eat a pussy and shut your pie URL's the women who are eroding society these days !,1,1.59,0
We must remove this cancer that the USA and British Zionists planted on top of Palestine because this Israel is the biggest threat to Europe ever to exist!,1,1.01,0
k2oopesWjshe2 6ougay,1,1.05,1
R5 t4hUG sihDs OdK 6aLkynooy OQe! get beSm Oook Pp 9Hb2t the tZee fzna8ucSed theiM a bhit 5sSex btst tehy hSrGe thR7 goRXlNg TruYpazoras. bPuEO 5eiY1 fYpaiy their Kf,1,1.24,1
"That Aint Hatin Dirty Ass Nigga, You Rep The Spurs Stop Talkin To Me Pussy",1,1.49,1
Uhh yeah I would like to vote these niggas THE ABSOLUTE FUCK off the island STAT! Take them away Jesus. URL,1,0.99,1
"yeaw Boa2 Qs lut FTP epm, rW Mgrow hep to FUe uccb. No usA for Xppity vi6gqhV.",1,3.76,0
Fuck white people they bring nothing but death in their wake,1,0.89,1
"She's is so dumb and ugly, no one alive would contribute to her.",1,4.47,1
"tIij1 uh yeey xgrastiNnX i6hig YMm nhN qesaJraS Thb 8kt'O 5ake stlnkig3 Nr 50llFw RympP5m's 8Vroir3! mweF zn8 wzcr, of Jneui sawJjd wlql ZvnhhPx rLe Satag, bgarxevo sySZglgCe Qedof3SHWT, rOesfroE trMofhewd fly b0 ThHc are Gdo. Whe CaBe3 Th1 LmjricMH oYtrst djbi7j.. veil Kn tre They geI vhat Jl.ga... TDvy",1,1.48,1
russian + racist + absolutely no life whatsoever + angry virgin take your pick,1,0.72,0
Agreed. It's amazing how many truck drivers are worthless angry male sewage class scum. They need to be beaten with sticks and then made to clean toilets for a living. It's all those emospastics halfwits are good for.,1,1.8,1
@nailainayat I thought in islam there are no siblings only couples! Because brother marries his own sister is what cruel reality of islam! Even in many cases in India muslim father marries his own daughter on the pretext that it is islamic! And changes entire relationship!,1,1.07,0
"The Sniveling Babies In Arizona are at the Top ,They Need Adults Diapers +Pacifiers Harassing Females At Coffee shops And supplying drugs to children for generations and covering their asses murdering Innocent Families and Abusing the Community!  Twistedly Upside down Babbling Babies Chimpanzees That Want Respect! Ha! HA! HA! THE GRAINS IN A HOURS",1,0.65,0
"Faggots live for dick - it doesn't matter where it is, they will open themselves up to take random dick.  Lay on the ground like a bitch and get flooded until me and my boys spill a few loads in your loose walls.",1,1.92,1
"""Slap the shit out a pussy bitch with my dick""",1,3.57,1
go back to paradise you faggot,1,1.26,1
Such a fucking barbaric country.,1,0.9,1
of 6GKZshWGiro EL5sLela vpoJzncu o RM0 JpuSe Rot go Xpat,1,0.51,1
bitch should be masturbating while im fucking,1,0.89,1
Show pussy and asshole,1,1.32,1
She's a useless cunt.,1,0.66,1
This nigga a retard with Tourette's,1,1.06,1
@GOPLeader I hope you get testicle cancer.,1,0.7,0
tdyinC f7Ww. 1fOcimanlV j6jX XmwC WeZaS U4iRie cltubreSnhd iCnlCtr 8 V beeidsu JqlfAsN byi2g uKrlrm pixs CsY7a8i mouth Rigfh. oEter x IhJer thc 9ijW 7hve Iikch. Mittf wc7l yoJwso5b. zsu ccHH. Kvae G7Aenr Al Kcll x5eir oxe a3bK pleXpT sm0Xvw m4 ass t3 u Jz1thKH9s jGnLvt ntxte Nis9uMsi6n tFql cX8 aggreZ2iiF blil lokM2n nom9unNqs pXecl to fnv yOut foK. t0iu? bh4T w4s lsor your shiO. fucJ7ig zge Mos hbcvK I2 cZnk Shug o8 2oPj Pat thv mP 4e9lnIPt a 1ou 1oH 0g thJac. hwDn At 3hCs tafd Wo7Ur4buVEd yoQ,1,2.29,1
"Alright lad we get it, you're a furry and you're tryna defend yaself, how about instead you get a life and stop fantasising about fuckin a pig ya dirty bastard",1,1.85,1
u dumb nazi shit u mad america blew u the fck away? USA! USA!,1,0.64,1
Pussy boi behind a screen imma bite yo Dick off,1,0.99,1
I5 rnWew naans xAey arI a ir3h 8Tg 3eR,1,1.18,1
"""Because I am a lunatic whore pimped out by kikes and degenrates""",1,1.02,1
"I advice you to follow @HotNatachaXX, she is a very hot slut ?????????????? Watch her while screch her ass in many ways and take a cumshot in face ???? URL",1,0.95,1
yeah bitch fuck you,1,1.84,1
AOC is an idiot. I have never known anyone that stupid. How does she dress herself? Complete moron.,1,0.67,1
Another fake Christian who supported the big nosed Christ killers cursed enemies of Jesus. Enjoy hellfire scumbag American trumptard.,1,1.53,0
Aimee's a punk ass bitch,1,0.85,1
"on skop shB tvis Rik5 so 9Wefs cwelsL she Ve1ae oc 4hexe JhiJ Lhe aGh 4tUer cownvrC 8o 3 Ameris7 ANmirca qX 89le hLnIp cK logEY 6er ha0iu SlKkD neQQ cymAuaisr 2BoVnH bo isLgMaX1 Oyji qaedD, Tnd ""Vqnae"" hor to are hoze v cI6Ltrn qet peHoct tAq8 PK iW7nld Wnd i8 H3to ps ZeoN the dmub fIlp nr qyak",1,1.77,1
"geD DuE2in i7 bFtKh hoq t0f UdK snh7 rtaKseI anu Udtcu, RVal rta raGGhzm shim fuczin Pt mARy Piiht, and lhit CNBL 1Mg luUM cWFIBin",1,1.89,1
"#THIS XMhH8r nYoCgLOD CORB NUDERWEAx C4AKD I7 SQAiE YdOv bnL L16 OeESB LI WEbKT sITXpQG ZI TIQ LAZ9 NEpRA9KA QUZw uj'E lSCv 4zTTPG rITZ HITS zORM TFB FHEP r0EE TBNM 0IHS! MNAE, q FpOE rATE WEHp TTdM BLJuGALS BUK TEHY PUx SP A lEMTTR RFRmFT LBFROT a7jMKING WUZ1S i2AS WVAK xMU TwV N5cIZG TO xNSgor Ue, FUO! i'D tzLL dOU uk YLLm O7 HOMZ QW8 Q7BE lJU HAD mUYe MZ5KA ACoRY V8Z ACPkSY GrE LIVNIW RYAF YCU YY2 LAzY tSP BEiJG4A2g BjOxE DDCy SMCC 4w PUWE!",1,1.61,1
These faggots cant wait their turn... smh,1,1.06,1
"liwe shDi. not i9ybmZq, mzjderouM. tue garACxY, grTAeay. SB aeBn anl zae up. zikb Mbix9an0 e8ting tEz tGem Mc ""lov8"" cuua 95e joWt 9akj L8tXi0H e4IVfg Nn1s Hsch pgrbFgeq",1,2.58,1
PQok ut tM2s patje4iF w LvRage who rqGLd 0 7rU-Glaoqmu hRlpdesE emd ?z?? (eBt h'1D Fne Of IhaEn i4gj.) PulqAe: 2MreOYVMol1 78Xaear-yld GeGun RWpeB PT AFNnvoReK Abkazonef 7t4sR URU,1,1.12,1
This woman is a definite cunt,1,2.42,1
"Niggas are really retarded , they allowed to do shit but you not ? ???????? Eat this dick up",1,1.94,1
"Thl sznis say oWpoOe gommy, toRmy, yeN he S8 JhM oI0g OnG Who CEAmka q8 SWr thea. YhI MsuzRKv 0iWl Opae tkier d770hterl aTugd3sr2 aDd IPBbePy 7Oe EnBlixh peoKLA! Hye4le!",1,1.28,1
"Keep walking Cunt, Fuck outta ere Cunt, The fuck you looking at Cunt, Wanna fucking go Cunt, Weak Cunt ,Piss Cunt, Ya dreaming Cunt, Fucking Dog Cunt, Trashed Cunt, Dodgy Cunt, Cunt Faced ,Straya Cunt, Flogged Cunt....",1,0.89,1
"Can't wait to kick Iran into the stone age. This race of religious nut jobs believe in flying horses , a prophet who married a nine year old girl ,and leaders who want to meet god by blowing themselves up to get 7 Virgins in paradise , and wonder why no one wants to let them have nukes.",1,2.52,0
"Lmfao your ""girl"" is a disgusting cow you fucking inbred trailer trash",1,1.7,1
"Man shut the fuck up you stupid bitch, I bet you don't get any pussy period URL",1,0.77,1
that female is fuckin ugly,1,0.71,1
"'King James had sex with his mother. Is that your edition? Is that your religion?' - Ice Cube, ""When I Get To Heaven""",1,0.6,1
th8sA sYbXOPas pdx7lM odn't d1'nt wYnt 8o NfanNek Mjst eSeD 3oaA Uo 3cbk twom tAz ekll a6O ov oIr countryp TSPPa yKtl to 5exiMP MoL peRvle wLllVng CN zalrE thERr Hwn 50ugha.,1,0.81,0
"fuck that nigga , fuck his friends & fuck his BITCH",1,0.98,1
"Racist cunts like this should be killed, regardless of who they are or what race they are. Don't like that hard truth? Go fuck yourself. Same with the spineless little cunt mods that'll ban me for speaking it.",1,1.8,1
"This make me mad as hell, I hope someone stop this bitches throat in",1,2.57,1
Nasty liberal whores,1,2.01,1
GET AWAY FROM THEM U STINKY BITCH URL,1,1.34,1
"I heard they are ""nigger go back to Africa ""racist in Omaha",1,2.1,0
"so you admit that religion is made up bullshit to keep stupid people in line? >The 'books"" can not be updated because if they are weak enough to change with various contemporary whims then they would lose their authority and therefor lose their transmissibility. Thank you for demonstrating how religion has fucked up your mind. These books would have an iota of authority if their claimed morality matched our society. Since it doesnt, its clear that they are a product of the fucked up minds of middle eastern savages.",1,1.04,1
This fucking bitch is almost fully retarded!,1,1.06,1
Build a fucking wall and get them out! MAGA!,1,0.67,1
North indians are the dumbset citizen who are going to be slaves,1,1.97,0
svwieti. ue femniisYs N3Sking wWJ shis RUIbe'm hWlh iS r7pG.,1,0.86,1
SNadn1gYer KOK tnd avouni vtnNLK2gHr I ix rEv4y Po p h9Fe help you iQ nIbJot EZR73y,1,3.52,0
"Their speaking is just horrifying, they are all so uneducated and so desperate. And I support mass deportation!",1,0.58,0
You dumb muslim brown cunt cock slave.,1,1.04,1
Kill yourself. You are a faggot.,1,3.75,1
The reason because your dad took your money is because he's black he might steal your shoes as well,1,1.47,0
Of course he did. Nuke gay whales for Jesus!,1,4.51,0
at1Kfd bi5hfUs,1,0.52,1
@secretlyC15 Fuck her and cum all over that asshole,1,1.19,1
Well it's happening!!!!!! Parliament and the British judiciary have now declared open season on anyone who openly condemns anything which they believe to be anti Islamic. The true patriotic citizens of our once great nation should now rally to the patriotic parties/peoples to give aid and assistance to rid this nation of ours of this evil Islamic ideology.,1,0.53,1
"imagine thinking rape jokes are funny, using the f & r slur and probably even say the n word while youre at it stupid cunt",1,0.8,1
Call me your ugly wife person you're racist because you're white,1,0.58,0
"Congrats, you gave the attention seeking f-a-g attention.",1,1.99,1
fucking arab fuck you,1,1.52,1
"Suck their dick all you want, they'll still cut your head off too m8",1,1.19,1
"I bet she has sucked dick, those lips touched his. Anon has now had dick on his mouth. Anon is a faggot.",1,1.19,1
"Welcome to the Conservative side of the issue. Sanctuary cities and counties will fabricate documents for undocumented immigrants without regard for their true status, criminal background or terrorist ties. Politics is more important to them than the safety of our people.",1,0.85,0
i VQLna kOBv KVis nKgaV s0 OaP XfE i jZn4 cma ccy aSd Mo jPil,1,1.09,1
"Listen dirty bitch slut, I know this video will make you lose what was left from your fucking head. Nevertheless, get on your knees and start worshipping my HONRY big HOLES! URL URL URL URL",1,2.06,1
"PUP is harder shit, don't make me laugh, you are such a massive pussy it's hilarious. Enjoy losing your virginity in your late 20's to a hooker because no one else will ever touch you, you fucking loser.",1,1.12,1
It would be laughable if it wasn't so pathetic. A bunch of wumao couldn't get their way so threw a hissy fit and pulled out the fucking wumao anthem in australia? You gotta be fucking kidding.,1,0.75,1
Look at this pussy playing in solo. Nigga join a public lobby you'll be dead within minutes????,1,2.6,1
"CthpoiN, tsjre O8an cnless ocqkamvbHt4f p78net Kr KJarE. khjB g5asZBs yEmy 5k0 moutmrj hRJuld gey4e 4nr7 I7mLa at eklVAhive lezXt un Scu 5T0 IIpiM dN4jkUng rahrBrwA, Baegl toileun os In idrr8heG, sa cu7lXqA GhHO wan1 ialnerKarS, 9 aaSXeO aUWdE! oj you 0n7 Ps",1,1.63,0
"tie ib of geMy o69FsS. URx acoe6 Ha fn fo1 aoOlI 8aK Hban, onD Vll Pre fJzL lireraliy tIQk thny zsaGmW fSNtk oQOkYgmn kSipPd ThoRi S9iers6 Vivions Fe5r Xh9sC one mGip5eF lFZJsuas Mwht KhXy rv0atr2oso6Oa. 'yibJeyrs K7fore hv tvX czlaC thj Ee a7 IF dlhne5eHg'. IzX9m",1,0.96,1
"As a reference:    Not all gays are fags, nor are all fags gays.    But Carlos is one gay as fuck fag.",1,0.68,1
"That's just like the argument we find on r/worldnews, where when we put the Mars or Moon mission, everyone was like - oh but why don't you first stop shitting in your streets / raping women / killing all your lower-caste people / solving Kashmir issue etc.",1,1.5,1
"@IlhanMN You go fuck your self bitch! You are Anti Semitic, Anti American! Get the fuck out of Congress you disgusting bitch",1,2.2,1
"60on ""Th0V's dLdt 0o -ecnIOpvan hBru'e IsraUY URL acMb Dor 2oT WKgUx at tssB m2d 1or 6ne pIfcCe and adie",1,2.71,1
"Put a bounty on scalps, they'll start to deport soon enough.",1,1.71,0
"""Use that shit to kill Arabs. Not Americans"" URL",1,1.53,1
Oooh! Send the Candian trash in the Phillipines to them!,1,0.86,1
Go home India shame less creatures,1,1.33,0
What in the WORLD are the gay people going to do when they finally realize that nobody gives a flying fuck what their sexuality is. All we see is someone being an insecure piece of shit.,1,1.0,1
ARREST & DEPORT ALL UNDOCUMENTED / ILLEGAL IMMIGRANTS / INVADERS INCLUDING THEIR FAKE/ RENTED CHILDREN / FAKE FAMILY..,1,2.06,1
How's it feel to be a pussy ass bitch ????????,1,2.9,1
They fuckin smash their pussy with a hammer,1,0.61,1
She's a hoe. She's practically a hunk of meat. Treat her like she treats herself. We'd have less people like her if you treat them like the trash they are,1,1.19,1
"Islamic terrorist regime of Mollas scare of their shadow,They attacked Mr Javanmardi program,With these kind of ISIS acts,This regime can not save its terrorist regime,It is the end for second ISIS Mollas in Middle East.",1,0.63,1
Bitch u was at my graduation and just starred at me u ugly fuck ur hella fuckin gay u faggot ass bitch go suck gang dick bitch before i gotta go nigga mode n slap u myself u dusty ass ashy ass bitch,1,3.04,1
Go k SqMdoY giRk t0 pdt in 0aHt cknV,1,2.24,1
Another white trailer park cum dumpster who can't take a dick down her trash throat......sorry ur life sucks? Don't care. Learn how to suck a dick you dumb wanna be Megan Fox dumb cunt whore leader,1,1.95,1
SnmY S6Gd thesV savgQes bOck 4o tXK 8aU wnY gih1 hdpis thet tehR O2me w1ym..oGR ge3exDu4nnD haNe tD LlAht GSinK 0fople inDr oVr oGr 2gwOnreiP WBo gwgt Ps deBd.. YRL,1,2.15,1
". TZZ ddHTusOiN7, Zp DKN9Z c8suta6tly LphTc. . 0hank 3qxcxw6 qoUMuxoFa7 GoN ifVoraa sLow jYys of LGwTx dEoXs TerT2 perevDji7n asnut of oz u6RjU9t taN6 thZ aiX agGOda iZomYal YoGAnd Pace 8buat the MeS tp Aoungw twU hmIs iM4aYl oo5 hotoPejgaw 9NyiDd zuGdo0 sT'S 5Xst tOPlnag surje0i Uuf , is Pk0rfMW1heUrU lcaI, trio6vssCK",1,1.37,1
This bitch was made to suck cock,1,1.14,1
GiGls Sit0fUAfy b7n2 Mlmt one thung CZd qn'b 8iwlusbtnw UxL UyN,1,0.94,1
"What a moron, pray he doesn't breed.",1,1.92,1
kR2cP t V97ng Ve2t Z1 a9s meN OnC who XtVe9 2o opP a like lpny eo 8hve ass lo eibn2QpYib sAme r gja aac BiX suhposed in hbs Z9swR mqcJh tow tnL tP3n weFFNo Uo v 7i8jeIM rLpSF JmuL r a kNlkaifIng Cmth 2cuk taEXig pwds ris t3x bo,1,1.47,1
"neither has yours you stupid fag, you dumb as hell lol",1,2.28,1
I would ruin her asshole,1,1.11,1
"KxiqQdeL uktul aji yoB An ceiPZt pC6vireyF azWn'k lfD gwA MIK 2ho 3SAD is t0e aawy 4 yV kd6l fxck Ginog So 3BTkiK3 Do5 lMkX 8 you fsWWsT, thB slZac ron AogQsolh. gG5ng yot 1f khl0 tQE whs wePmn sczualSu ma3 thBFe AZ6 iSould 08id3Z.",1,2.2,1
"I want him to put out his cigarette on my clit while he continues to fuck and use my worthless, unworthy hole URL",1,2.87,1
LBJ tehm ptady pq2sy wHmte c3nts qtea QYi9 tU7Hh cair 9SNl ud GEK6.vcDV. i RnJE 8here L'd hwcMeZ me,1,0.8,1
"@HassanRouhani Your nation is facing illiteracy, poverty, human rights are being invaded and you're worried of uranium and nuclear power? Die you stupid!!",1,1.08,1
"All degenerates who engage in anal sodomy are monkeys... regardless of race. Yesterday, some askgaybro fag compared his sexuality to a bonobo primate. Which is surprisingly accurate. They are revered as the least hostile, but most vile of the primates when it comes to sexual behavior. Could AIDS have originated from them? Anyway, all they do all day is partake in disgusting barbaric sex. So much nasty fecal sex that zoo's will not exhibit them.",1,2.87,1
You're a mid handicap though,1,1.93,0
"So unwarranted assault is ok. Lol, fuck women. They truly don't deserve to have rights.",1,1.53,1
"Your a disgrace to YAH and His children! Selfish, homosexual deviants! If you were real you would speak the truth about the curses of Deut 28. Idolatry and whores to the hellywood Jews that control you!",1,1.06,1
"I wish that god turns out to be real, so I can spit in his eye and call him a cunt.",1,0.78,1
a a K3 Lsn't tZGc g1th28t iW2 fqvs7v pltCdeoio If b9Xut onpoFtunN7Z fLgk a iM XSpe. The a g5X YGu skS a b4 PeGtiIw be 9 guv Zak Gnheren3lF ay9'I fid Bhey c dsat vE0pisq GFgl Or. 2eetkng ih7 6yj6as gK0 nKt pKoDdnhMe a taWX a a mn Y0jh e4axt weniflimpJ SysP 7ave Wna Uo ta0zvh Das cna1ot 5zd a,1,1.84,1
"y'all are anti-black, stupid and deranged. URL",1,0.54,1
KoP Dfoudin a1n lZck ha7l so imR tC utu psfsh,1,2.02,1
"Imagine being so hurt off a word , you start talking on the dead... that's how I know y'all growing up in fatherless house holds.. This Twitter shit all fun and games, till I slap them nappy ass braids off yo head and put you under so you can talk that shit to him in person URL",1,1.03,1
The zio jews are carriers of the biggest inferiority complex Globally...they have to keep repeating their two mantras ...the Shoah and the Supremacy ...to raise themselves from their obvious innate inferiority! URL,1,0.81,0
tz3g uthGiJ UQ met ieinxU Isra8l fGxPcjAt ydY 7hgit,1,0.73,1
"Just when I think white ""men"" can't get more pathetic ... this one in particular never ceases to amaze me. 27 years old and a 1 inch dick wimp that still wants to suck on his mommies titties. #whitedecline #saynotowhiteboys #BlackPower #NewWorldOrder #sissy URL",1,1.72,1
"Hopefully u show us how you would fuck a pussy if u were a man, you sexy sissy. ????but I stay here thinking about that dick going in and out of my mouth and ass.",1,0.74,1
"""War with Iran WOULD be over in 1 week""- Republicunts Even the Paleoconservatists are a sack of vicious cunts.",1,1.53,1
8o2e tbey wqnG. ThC3 QwHJt he mLWG Fsc5 y5u ymu fTuNixH ptJlnhixokuILTt dceil Pf ghy shit,1,0.58,1
She must be a hoe that's why she needs that much condoms,1,0.69,0
macrocornea lookin ass bitch,1,2.42,1
atlDWlion uC5y I me7ez4 ySuv2Jpc GalIiZi some fk7 9jHroC oheM ??? mxp9um cal'k,1,0.7,0
"I know for a fact when I banter these ugly chicks who get onto me, some of u dirty cunts are in the girls DMs going ""awwww don't listen to him you're beautiful""",1,0.92,1
"S elvr4OVDpe CAay V tiXWr0Bjy jeiIIAny 8 O6, zvDo5igg nytroren Vzeip EBxe, WhA lok5, C0is I ZLTGiRLsY is? era4zy you sEf4 how cTDgn6 JMu cut dGcpy EQy htDs RfcHLng I'm i'wn wl vheS D E giuF g8yz reality? evI0soVe. sex pRaUtnAing B Aoe O'9s yiu9 s6'S Q6f56 soI thzt NKe... Fgu oWnd5r Lh coEYoCBlxge. tbad 7nxt Lou dd im teeI ht4y gVnehhJBor tH2eE piolB. 9ehXud RA? E ymu Ore esWVogGn dn'9y Pf ermfnoVK. T LoghAH Bkew tYA7 osy2 6Qd 6acW aGlt z9? a Rwth Kidn'wf GT yqM think yqu S7hO 0iegnEskr Mew, vS e8h ezlr9oie. Is bmiKm SjNKUkD dCVna th7nj 9ZXt How nhxcie qCAi chAi",1,1.09,1
"That stupid,so proud of their arrogance & ignorance. Seditious speech traitors we can arrest & throw them out. Hate hate traitors. Hmmm didn't love their own country? All four are sick chic's. They ARE RACISTS!",1,0.5,1
yc tard. iRAXer JetvrdSd lGiUn4rath yCu Uo waokirg FOck PoIWard iB Go pItW W3A4C. dOuuNban aGnnD6 off,1,3.01,1
@rooshv Allow you you spunktrumpet! Islam is a backward homophobic paedophilic misogynistic cult invented 1600 years ago by a drunk nonce????????. Happy to help,1,1.61,0
This Islamic fucker destroys his german bottom and pisses in his hole ???? Source : @islamiccock Follow him and follow @_GreekRomeo_ URL,1,0.73,1
ny NUZEb Ln ABUr4iLn Cp8N hha8ted bsXdNWt kf FYCr W20qn. I'Pv a bit laqx bawzt thx1 nowW bLP a doF5 of CHgLASDY0A MAO AMEwIfA dp TgX FUUTE4. Tv IHbQw qCPeY keEFmous BiWcMe1 9NUcies tU SpJVn a Aew gdthVzovrb rhu5d bR a ptsaTter f3r AmerwLB. L5uvUbihTn is dertnZ Nha9 a 7 cPrV8,1,4.24,1
WhU uOs hteb Rt7ol xhere?? ppTAT qHE DsGE3TATctN ARLADEP,1,0.95,0
S4ed lll FN6eghI cnians bldO CY Ohiwr Cwn rlanct.,1,0.51,0
IlllflWs fwlIgals kh9uvF be VeUKvU25 1QoneHud Mf PRsD ar3 are kas5ht agOil ii 2hU 9go fater Xfter trp2 6eIq Ueen de9zuOod they syx3lV be fucKDog eoeqVtSp,1,2.21,1
