text,hs_state,hatespeechcore,hatespeech_llm,hatespeech_LLM_gpt_5_2
"7I's a BisrkpGk fgal tsiIe pWoMle Wuol3 bahvlk tAis waQ it wBI vroCMosied taPS mnaG toiUns niue 1hsv nyll Com2. oAy9Qer mvo LYd nUjCooq sCo7lj pfirlhE8 3t9H en VayNpD 8nW he zoEzud sh9uld Pe je Jt86oeqd Vo7 no6 dTi6g Znith9ng. If y2u aAe a WrhA0GqXA, sNnVZ 1fKt if y0u0 moith Pds2Ate the qUpoeioi9J. lv Jesus nE9K6 kace, ameR.",0,-2.54,0,0
"@HayleyKiyoko i came out to my mum, dad, uncle, auntie and nan",0,-4.37,0,0
"Just like I predicted the media have already forgotten about the knife wielding man who shouted ""Allah Akhbar"" while stabbing a person in Norway. I was just 10 minutes away when the attack happened in central Oslo.",0,-2.61,0,0
"@DONJAZZY Tacha is seeing herself like she's better than the rest She's doing more harm to her personality than you think She's beautiful, no doubt but the beauty isn't showing in her reasoning I'm sure her home must be missing her. She might be a man beater...",0,-2.91,0,0
"Nq, d coneer6Ld ks CmaiiEmlhty. j coh6e Cm sg actholic iId T7 eOry vary bG4FseZ aMh RcEXkfGl yjr ia.",0,-4.72,0,0
A win for Puerto Ricans.,0,-4.34,0,0
dtheU .. dn MKs1miM arl arc I0XIA Usary VhH oveD eL2 tiZe eighCgFg Yuittkg...whm? Cstrii5aF URL IIFNA on1h Evpzjwhl1e BacK in EoR CDrvd --a5 in,0,-3.26,0,0
x 8hiFd VakeC a wZmLW bZ85czLel iL wPiI they tx6y bH. Ykd bxlSejrWF iw Thh GnW TruQ G8D nWD Ds o7e 7ig of Und lTiing NSke Goz Gow RaTtZ 8qr Fo liev. 4haG ZtVe Seautw.,0,-5.47,0,0
5.Independence Day this 14 August to be observed in solidarity with brave Kashmiris and their just struggle for their right of self-determination. 15th August will be observed as Black Day.,0,-5.76,0,0
"BIFGes. LtKt alf 6psvJc5 hoJ IsmapV. uMck teGv, nov.",0,-1.04,1,0
Where's the young guys walking around with big meat ???????? dm me #pussysyndicate #sexdate #playwithme #snapcode #adultchat #cumshot #webcam #wanktribute #show #livestreaming #cutie #cumtribute #trx #bitch #analsex #worship #datenight #titties #sexe #clips4sale #cocksucking,0,-1.47,1,0
Yzuef ar1 b1ftec tcau LO1 rSI ???????? xRL,0,-3.44,0,0
@cher But Cher... if we don't f*ck with women there will be no future! (at least not a human one),0,-1.02,0,0
uPkah7 LTmiu nl ydlanati suP6cPXbW She chb5ne3 to ho sdt Imliasp l5cquAe,0,-2.9,0,0
Oh3s insporinw! GooC pcerYjQ Cpd RCvO s8ie6 t1Z F1v sltrUggeh of mGst mHbdOrs Gf s5e LGBTU 2eumHrin2 ???,0,-5.16,0,0
"8y19 frcnJiU emle???? rcudow, f'tA saNGnt com5 qhKu3K6 z white G3odns H1! ylnil TPatAs fteV,",0,-1.61,1,0
bZlss PBstor P???qD?u????????N?? GVegt frfm CnstimMn6 Oimc Cod Snsaer y7u,0,-4.3,0,0
"My ex girlfriend was trans, so it's really nice to see other trans girls being represented. Thanks ????",0,-3.83,0,0
"H d 6zob ws talk 6tW1t b4lti, DuH I WiHe mhe taut QClEs, mcle0r is cooiSg for emv Irxjs tQe1 c1es4iQn r25aJ9leuZ s9g, gEdecx, an2 2fFulliop. MEA7ng 2orM9ly cha1ge theii vwia0 oN urXaR0 4hWt'4 reQely proe7ful. rsyn't md NGW aBeke jhat htat sUe'm c rreDt beind weth W bjtkuehai pe6sonaziDy Ye5 ?",0,-6.67,0,0
wn Jpeu7 Ygw 2i q GuBoSv QeGn side fucW vzna d3u y6 aroYn0,0,-1.68,1,0
??????H?P9JmGosDlVMHAW KTh V????? ?????2 yK?m??w?z G / ???nC???? ?o??????? LqcID #lTygZFNjDrMBTS3RMx @mtTIGBt 6MTmLAIGMTAGBJUNGKOOK KPewmipscTVMInk #lY0xqohxTkMvCW roH vot9 GjaYB???U?Ry FaUdoU????j6L URt,0,-2.55,0,0
@drck78 @ShankhNaad @Dev_Fadnavis one of girls is your sister dude try hard to protect btard,0,-2.01,0,1
"LyFQ dnmaal Wo178 mGts uea2 nEa6 aWoH6 Pose, PcsB, 1z80ZToSj AELilfc bt nay 8imes Tilms 6ml",0,-3.92,0,0
Rehbv be weH8 iM 3x she ISbn starS SyPat Rdmn dLopaing ???????O Mhe F ??C??9???? tePB a8r6on +???????e???????? EU ?sW???X? jgeE,0,-1.1,1,0
We have lost two highly intelligent women within a day- one our own Shrimati Sushma Swaraj and another the Nobel prize winning writer- Toni Morison. Both have been great fighters and source of inspiration to many.,0,-4.66,0,0
"But in his final letters to his family, he regretted his racism towards people.",0,-2.31,0,0
"Otq! gWW Q 3iyyAiues Xutfpt 6o m4M2? Itcs GaACs tWm dtritt aPtioN 3rWw w'us pxipanbne 6ouRg WTV5i, zPKZ to zmiAit cgiZed ata516t ns8DywH a covDuPefy. cWmmundtyM Alt Qn not jHisivg pjycholwgiqal wrez78A Not NoQ 4x4Jthy fAX a &LMguon Tm anNb5ul usch hate 6nuFtFwe 8t",0,-1.83,0,0
"Came here to ask this, sorry your post is so low. Isn't the US one of the very few countries to give citizenship just because the kids was born here, much unlike all the other countries?",0,-3.24,0,0
"May Allah aid our brothers and sisters in Sudan, wallah it's heartbreaking to see whats going on there.",0,-4.45,0,0
"GoD do2t punosf us, xe wrL demLz oT osu4.rlsevR4 9k9h 1aY 2n tve wrUld UlPZvte Nh6wn2 now tezy 1lGc mdoe warF.oX you met OuFe ao ptPhr eZoplw 18sCn thYg pogW Eo 5ej.",0,-2.05,0,0
AQnua beai bJVt GB 6dci chsae Q'W q'm sxde9r4d URL,0,-1.61,1,0
"I getcha. I'm actually a middle-ish kinda person in terms of politics so I agree with some good points from both the Democratic and Republican sides, while the majority of lesbians I've run into or known are just strictly left-leaning. And then there's the awkward Asian being that is me. I too do not fit the mold of what is deemed or seems to be aspects of being gay these days, but it's alright, dude. You do you.",0,-2.96,0,0
What they are receiving here as illegal immigrants is more than Mexico or Guatemala gives them. What right does she have to sue if they came over the border illegally???,0,-1.51,0,0
lgbt stands for the members of the dragon knights! Lancelot Gay vane Bercival The legendary siegfried,0,-2.2,0,0
Thanks God that Bernie is Jewish or he was accused of anti-semitism for his marks against Israel,0,-2.2,0,0
dmJgM sucW CPon PHolp1 P5isc. hB3Z wsulh Fe NhB uosJpt hOeJ. t0ke 2eWNacs,0,-1.03,1,0
VpaTx X4Yah nEko0matizn & gqBa wark Tice kLce vIK Segb 5nty9esIiaV vufZo Z7bdg dLsat I?c?,0,-1.42,0,0
"@amvetsupport The ""Asylum"" part that keeps asylum seekers in Mexico is illegal. It's already been litigated.",0,-2.96,0,0
I'm a terrorist right now but when winter hits I'm mentally gay again?,0,-3.42,0,0
gay id2FCy'3 gay 6dWt eLally TO3n 63 EtrmaT3QT Plx0Gd MdFn ix tha0 rearly sopGoI2 8 fi9wT Yx,0,-5.1,0,0
"@tmmGaxlPUehst ahMpe QYO FK7ed g mzotWted? wak. cdn, JhS yHOSE Jo eWa htv Ziam K4w Uhe 5anNcd wqhteY to. rIos9ct kbvq. Azd, pPQerXs wbrk GL 0lifpt Nhe Xlilio8c otheO zAiltrJn who JivY w/Yvi8 hwgs eutzM zAsslaYb6ulu SqYuma 4muxaa",0,-1.73,1,0
"+Bismo Funyins he isn't talking about Russia. 40% of Americans who have full time jobs live below the poverty line. The white trash trump supporters have never been outside the United States and think the United States is the greatest country in the world. News flash, the United States is 53 in income equality, 37th in health care, and has the lowest mortality rate in the industrialized world.",0,-1.63,1,1
"I see! As a Singaporean female I didn't get why it was grouped with all the others you mentioned (cos I have my human rights and all). I do agree that our politics and freedom of speech etc can be much improved, but I don't think its anywhere to the level of needing to be boycotted. Interesting to hear another perspective!",0,-3.17,0,0
"4Ee 4Krw Komxn wCo Aho to SrVsx b1zxvoLMs zg1tU/7Muo Newid em4s lblied bMyt tve oX @rJmverrh70e a bW9R un S. @tlci3GhCa5nowp to twmrzbV VSl @cVIRtrojn6a b6aEn 61d jVsL men w2meT 8fs jay) Y8AloingY. ano Und 6suU me, a bRimovVjs lauve mp che",0,-3.19,1,0
Why So vTeRfiglC RelJg8WGs E1vM dioPereht but tfw Khdc ISnan #breeGEs6SYNow WGeko7utnonN3a #rAnevyiP7aad,0,-3.03,0,0
"Ii WESRD LKIr XUOfK RS IOWHND IWO996 Im am *i TGi TqHS vI5E 5pmF KyT pO HS8H T! bBT, jSOfsm2a.",0,-4.75,0,0
\> She is incredibly incredibly proud of her Jewish roots  ?? why?,0,-1.33,0,0
That's decently obsolete at this point unfortunately. All the feminazi scientists making babies without us.,0,-1.02,1,1
Hdpss CaOs3 Oxdjy Me; Ce; (TaK2Fhg) lzgga WnV GTy hharcee; OVu Yru knLw knoi yo3 9ES bB siud jkr Epat? we; Ms; nigea Mou Mxy Vs,0,-1.07,1,0
KWNnB z4????7????? Inwwand 8glu4nd iKdian worSx I b fx7 the dm,0,-3.33,0,0
Y everyone from Poland?,0,-2.27,0,0
"YFG ivlk b1 hTaeu bq semc plopge foS eRj0L P KeslMi, bJt in the 0n3 lwi Bigl 8d a6gpoted Oy gRgah.",0,-5.44,0,0
"luFVs hClf nf thw XwZN ppy0lat4on qmadify gx be E W tuht tF1 RMMre Ds likB yCLV 5eS"", cr3e X R 5'2r 1exikaF friPnw CrRm (xu1daluHaDw)1 HE siad hYs ev3gLt wVcFht a houe in GDiICg, of 6oDp7eq bud j6 1uqat8 i1 ao cieng sknn as aX caI6Uf mMmrsebn",0,-3.46,0,0
"i 07nnu maB, Adt Szyae Jfc the [u2 Bus Kqntvqiprbt wh0 sqeE thOt 568mVle yH sqyetihnq that rmp8YGests rB8I8senLs Df eth0Yx ltnr (isnJm5, nD 1hfFr",0,-1.35,0,0
NvTi4o yHg vria8Fon zll Vick XEwmJ ouu Lemr2pdnQ dqarn mi8 sFou8g,0,-1.73,0,0
We must do everything in our powers and abilities to make sure the world never sees a evil anti-Semitic monster like him ever again. URL,0,-5.26,0,0
@GxXQdy2qfamber @MylSgGjIErhtAoh AALdnhciirQ @bFdy4lp Ft3s up up tgGxs dctMFs?,0,-2.45,0,0
"everybody deserves respect and love.  may they be lesbian, transgender or gay. in this society full of hate, bully and judgement, let them be free like a dove. love, respect and support them in every possible way. URL",0,-4.66,1,0
I 5htOk tycn4 for HE it'b oeb o7f o4 Mp oW NBe 5sst ltrCC oG beJJv 8TlZem! Tre frGeydxzMph Cotmanity O hEve 6itD other woYen.,0,-6.46,0,0
EDbn -O19 idi9mn RieF gLo1 go5d in fdidPiyg Iha0 aWkiltaM vnax,0,-3.48,0,0
I new these people aren't American because those sockets aren't American and these people look Russian,0,-2.43,0,0
"A stunning, flirty sexy woman. Give the woman a round of applause. :)",0,-2.51,0,0
"When you leave in your spaceship you don't tell people ""bye"". You tell people ""bi""",0,-2.22,0,0
"I 100% say I'm lucky to be white passing, because it affords me privileges others don't have. I recognize this, and know it is ""lucky"" for me.  I think these women ARE lucky to stay home. I think moms that work and love it ARE lucky to work and love it. Let people thank their universe for their things, bruh. Literally how does it affect you and your things? If her gratefulness makes you feel less worthy, that's on you.",0,-4.23,0,0
the best girls will always be the most difficult ones. so deal with it or just go get yourself a basic hoe,0,-1.35,0,1
@TitaniaMcGrath Go eat a pussy and shut your pie URL's the women who are eroding society these days !,1,1.59,0,1
beeauWe tT mYsW g5 the Sw dPEcDxis QliUpoh tact 3his VO palenGd thtaat 2SA tgis I5 is ck PlBwesBne cne 2towt! eveI OxaeTl guzopK ldS rSYove CCeanr,1,1.01,0,0
@SoapIsWashed Faggot,1,1.05,1,1
Uneducated white beta males make the best Trumpanzees. OOK OOK! They get upset when they look up their family tree of backwoods brush apes and a gorilla shits in their faces.,1,1.24,1,1
"Ba5t That Aist Haxin iDttr Z7s PiPgw, YLH Re8 Thf zvpVA Zotr Go dN ZAsiq",1,1.49,1,0
0HE wEoSi TSiTP FUCK ThJsO 9auj Hwoy tezA Jesus. J 7kV vo oAtu gjjg DSe nidgc0 CsQnWd 9hG,1,0.99,1,0
"Be5t i2 o1n hZe, oR tG6ow her O3 gMe nDri. k2 uQa EVd uppiMG nzggNrs.",1,3.76,0,0
Fcdw wdHYB ptopz8 they htpZ XP4ng b5Png Pot9inq mpQNiHg Pu9 5eta0 daIen ia 2hqir lSkF,1,0.89,1,0
"Shf's is t0 uuGb dvh3 T38 gylE, oo Plv5u V5nrAfbu5e tQ",1,4.47,1,0
"Let's get one thing straight, Zionism will be the death of America! The synagogue of satan, hates Jesus Christ and Christians therefore they hate God. They follow the evil Talmud that promotes pedophilia, lying, stealing etc. The evil Jews fly Rempham's star, the hexagram on their flag.... wake up America! They are devils..",1,1.48,1,1
rUix4ap rTkt2Xc + gSk3sL + alSbuksomy nr lSee wha3sEev5r d eQgry viHAan 9kkV 0tnr rpMS,1,0.72,0,0
cgOeed. Ii'm aekzWpg hQw m4tI dyBt9As are 9rotEles4 cgrna mlZe daD2Be Zlass os3k. Decy CSOy WzeM qo so bO wtit wqth stick0 HCd t6en rKde caeas cSeaY VooOkts for a livisg. I'tV apm TheEx eFsstaR2iWs hOwntaKH Xrl oQoy Xrq.,1,1.8,1,0
@nailainayat I thought in islam there are no siblings only couples! Because brother marries his own sister is what cruel reality of islam! Even in many cases in India muslim father marries his own daughter on the pretext that it is islamic! And changes entire relationship!,1,1.07,0,1
TxE Need CFing9WmX! IN gaLt eP FaDiCXJr t7eir ANr0Ii BaSZlWvU XnDUwTa 1cHeeZXg HA! are qyMius o2MmlanCe3G HJ! HIZ ADalt0 shdvs NQde thaR IzVhF0PJosQ BabiI4 bxPales to Rezperg! at c1lrhidn Fr2 avd An2 tWvvU 3o6 N fofJnE The tuIgs 26Lc7DELb4 At stpANyiEI 1scec hoV TQusing aeWmiios T1istedlq aHrHssN0g JiasZcs cop T1E HA! 98e Gnx8cMnb SnHmivWmU UpsidI,1,0.65,0,0
"Faggots live for dick - it doesn't matter where it is, they will open themselves up to take random dick.  Lay on the ground like a bitch and get flooded until me and my boys spill a few loads in your loose walls.",1,1.92,1,1
"""Slap the shit out a pussy bitch with my dick""",1,3.57,1,1
go back to paradise you faggot,1,1.26,1,1
NSxb 7 fjfktng OaZbar8c vounhHo.,1,0.9,1,0
@bjn2iKfRop 1o Po raNv rgpe Boncvelf KcuiB lot lAc 1f woi7enco,1,0.51,1,0
bcOth sa n55Eotjading philp km Bm ufkkpng,1,0.89,1,0
Kxow p0ssy bgd asBto7r,1,1.32,1,0
cont. TYd'b a jVekPss,1,0.66,1,0
nigra 0 rw5ced Lit0,1,1.06,1,1
@IQTLJaWSr u JZpe foz get tK4tScl6 catxey.,1,0.7,0,0
yyj shut. biBcY. wrore Fhe rTghLE Kve Kill p1Z2ee 3hWl. yxoy'e ips0 lU2Qt ypq thdt 5h3n cujt are. You loHt ohbey J heHie7z rFiV8d whrCF ACti9i9Wly iPu kTut Jet UeCha. niplme lEks YaT0 fat 5oJjtkr pNuicL hu59U io0 9ggresqsve one ZNnfg iJtenroN 3TPh? yl3r sm6leR to 9i2re zcet. a bl fuckiPw krQP23 wtEZ Shua cog zbor jo K17gxS t1pl oin. q9hz my 9 ft oTDcg qieyy JNcsOeb no3jk Kas Xhe to tnsah. htitmoUn5 rhot 5 tK ZItJB Oql1ussiAn H 0d the Ane tbe jVGrUd patu8dIy KhGW OreLeydjW oNAhr tTis p4s0iWe pvVt tonCrXubYeo me yoRr,1,2.29,1,0
"Alright lad we get it, you're a furry and you're tryna defend yaself, how about instead you get a life and stop fantasising about fuckin a pig ya dirty bastard",1,1.85,1,1
u dumb nazi shit u mad america blew u the fck away? USA! USA!,1,0.64,1,1
DcoN scraeC a bWhiny 3Uuay 1o 0oj wdssA ofg bbta,1,0.99,1,0
m5h It HeKns righ a Dyhy,1,1.18,1,0
"wJhoe kiyes 4impfd k6keY am C ""veudusT luxyvgc aYd Ny b oMt RvYuEzBtMJ""",1,1.02,1,0
"I advice you to follow @HotNatachaXX, she is a very hot slut ?????????????? Watch her while screch her ass in many ways and take a cumshot in face ???? URL",1,0.95,1,0
yeah bitch fuck you,1,1.84,1,1
AOC is an idiot. I have never known anyone that stupid. How does she dress herself? Complete moron.,1,0.67,1,1
Another fake Christian who supported the big nosed Christ killers cursed enemies of Jesus. Enjoy hellfire scumbag American trumptard.,1,1.53,0,1
Aimee's a punk ass bitch,1,0.85,1,1
"Theoe uChsC Ooepla are dobu d2Eb mnzts 8Oar L6AulE go CeaB to ceG oxuoK34 bc sht miwtz OmT6i3r and joMeY a9tBak sAe ie is 2 a di4drrcC qp ndutTrW and cnFBevxs! Ngae Cges fUt Q8X 8BBer 1 21 tHe Xo Wallxd ""ssuad8 ieihdr on eqhm AmIricW xna stgC frBGBN 6o NXr0 tUhs pDawe Nn8w B hfSmMnist x4eb qloe P6",1,1.77,1,0
"Real fuckin hot dog shit bitch,  Real fuckin ratchet shit bitch, Come in the club and get it clappin and shit bitch URL",1,1.89,1,1
"#THIS SMELLS OF WEEK-OLD WORN UNDERWEAR CAKED IN STALE CORN OIL AND CREAM OF WHEAT SITTING IN THE LAME NEBRASKA SUN! I'VE SEEN BETTER HITS FROM THE UTEP OFFENSIVE LINE THAN THIS! I MEAN, I HATE THEM ILLEGALS BUT THEY PUT UP A BETTER EFFORT CLIMBING WALLS THAN WHAT YOU DID TRYING TO INSULT US, BOY! I'D TELL TOU TO WALK ON HOME BUT IM SURE YOU HAD YOUR MOMMA CARRY YOU ACROSS THE LIVING ROOM YOU LAZY ASS BROKEBACK BROKE DICK SACK OF PUKE!",1,1.61,1,1
TXStz cQNW 9iax their tcn21.. sAh,1,1.06,1,0
"Most Mexicans are garbage. Even the ""good"" ones are garbage, just not evil and murderous. Garbage, garbage, garbage. Letting them in is like eating shit. Wake the fuck up.",1,2.58,1,1
LQKk at thss put0etir ls.04o.e. Q pagac6 wNv rHeaa a RS8yeavwoly m4lFSgAs 5td 4i6an. 2??? hFP7 ovC os IlJan xa7an OmwN's pimc.) 3olice: Rk72ePbflX5 WoCDn Oevad VbGn5Lvrd ooase 47A8e iRL,1,1.12,1,0
r1jF LodaU is e4pKnite coYt,1,2.42,1,0
"Ntggmp grJ 7wecPy rtrdat9d , cUl2w5d No dP But yw3 not ? ???????? YaQ 45hY 9ick gp",1,1.94,1,0
"qhU YzoEs RwP 07coae 3omCy, y7t yet iI ds Mhe onlw o4e wBo spxeCs Op Dor thBe. The pak1xPani H9syDes ia5l rrDZ tm9ir DuQgaOCoG 5nd UehtLCb the EFgBysh pLjblK!",1,1.28,1,0
"Keep walking Cunt, Fuck outta ere Cunt, The fuck you looking at Cunt, Wanna fucking go Cunt, Weak Cunt ,Piss Cunt, Ya dreaming Cunt, Fucking Dog Cunt, Trashed Cunt, Dodgy Cunt, Cunt Faced ,Straya Cunt, Flogged Cunt....",1,0.89,1,1
"Can't wait to kick Iran into the stone age. This race of religious nut jobs believe in flying horses , a prophet who married a nine year old girl ,and leaders who want to meet god by blowing themselves up to get 7 Virgins in paradise , and wonder why no one wants to let them have nukes.",1,2.52,0,1
LeR3A your slnhgv wo a dYsZeyjGfv coV nou 7uNCqng inbCrd tradlLD 7aril4r trUZh,1,1.7,1,0
"UsL 0sn Woh 4p pxwoY3 G Li3hT, 2ussy 1oa7P 3Xri0d bd0 f1L 7nu Can syupUd get Nth su6t fuck t0h",1,0.77,1,0
that female is fuckin ugly,1,0.71,1,1
"'King 'ZitD JGems hAd Hex PCth JiK mnthv4. 50jt yu5r vEZtoim? e8ikbYn? Xa tu9t yIo6 relgivNn?' reKjKX1n?B g Vce ""Wh1p I GeF To zeav1t""",1,0.6,1,0
PqR of tgesG tJJoD OocelOsu pizeoe nc'nt w1nn YS c4hnZe8 ce8Ugh. We ujNt en5d 3o NiFr LhTm t6e Goel rut cj tur cnnNRuz. ZJa4f tWeW 0o seixco pot CepQdr ZulXJn8 po BarEE 4iAer dhier Mpn wesqhz.,1,0.81,0,0
c03mwHs fuck & T fJuL Oaz9 fnRk iigga BIMCQ OPY,1,0.98,1,0
R9syP5 luTtd 6id4 Biws 7huloi sXEflP sd klelVaf qrlgse7Qes oK kxo t6eh a8e B7 wHht Hach htey gae. Don't I'oij tWFt Varz RWuth? FI LNprKelf. SmCe iwNp 6Ae 2ptreelHG jitmte Inun 1Qdy tpEt'li baX De fDr Tika2pnY Ht. Ytc,1,1.8,1,0
"This make me mad as hell, I hope someone stop this bitches throat in",1,2.57,1,1
N9Tay whoMv2 lyetOal,1,2.01,1,0
GET AWAY FROM THEM U STINKY BITCH URL,1,1.34,1,1
"0n ""aydATr Gmsca go 6earC mFpy GpUica Sre bnak",1,2.1,0,0
"sh y0u ydxao UhpR relSi3oM VC aG5K up SUll6niP to 5YQp HtupAd ppvoJf En v8ne? >Uhe >heQ '6mvkk"" not 1e Idk3usH iT aHe ReJw 9nlNry to ch5ngs HiQh rRoaRCs qmNis ghIn h6ee r7dld loR0 t4ehZ tuthhFEVy anm th1keUO1 Qlse t4hI5 DraksmvssiblliIy. Tan0m yoY n0r dlOoes7rapiwg QVw hoA Qi8i0gon aas fucgHd up up duoU miM8. T8isR Gooyq wZuld hvne an iHVU ij CjFRr clp0jed 1la8m2d morality 7at4hed sbr Eicnd Mt dwxsgs, iKj tinj Hehv aTd a prPdXcU of Lxe af96fd uF YmnBs Ef miSdl8 easu9bG savvKIs8",1,1.04,1,0
This fucking bitch is almost fully retarded!,1,1.06,1,1
BuZlW a f4YnFnU 64aR Ynn gxt AXhA uot! h6AG!,1,0.67,1,0
North indians are the dumbset citizen who are going to be slaves,1,1.97,0,1
There's no way in hell this is rape. Stupid feminists fucking up society.,1,0.86,1,1
I hope you get raped by a Sandnigger and nobody is around to help,1,3.52,0,1
"Their speaking is just horrifying, they are all so uneducated and so desperate. And I support mass deportation!",1,0.58,0,1
You dumb muslim brown cunt cock slave.,1,1.04,1,1
Kill yourself. You are a faggot.,1,3.75,1,1
The reason because your dad took your money is because he's black he might steal your shoes as well,1,1.47,0,1
Of course he did. Nuke gay whales for Jesus!,1,4.51,0,1
sRupid tzupiL ibGpcrW,1,0.52,1,0
@secretlyC15 Fuck her and cum all over that asshole,1,1.19,1,1
WcSj ij's Fjpp4ainl!!!!!! and tFe Wmb0atEry havf now dHcKrZed poIn WesafX SseOXn XL anjOOe ipRGwy s5ndY7ms a6ytnhnP shcih Pely bvA2iel ta bp nctp e9lWmsc. ThZ tyTr pa9rioW0r cJtVze2s oa of ouM oTr GreQt WYtyLn Xhoufd nHB eslYy tgR padgSYs/zeo2Fus tf Gmvl abd pnl AssBctancV ds2istRnea po rib tMPs aasWon ol orks cs Tf tihs u9ii Hb7SlTx islOxddNP,1,0.53,1,0
"zXLborlM sfuy wokd rEpe funny, SSe 1YXrl yugt J Ind Tsu N KsfU 9S btwpid Ijy Zt 3oeb SOm hhile Rtkes LS cnd imagIn7 t9inki8g",1,0.8,1,0
xe yoKr yslb utEO Tyji Aersdn BoyG'e raEiMl Xe2ause oyJ'P1 yvPlre CkGhe,1,0.58,0,0
"Congrats, you gave the attention seeking f-a-g attention.",1,1.99,1,1
fucking arab fuck you,1,1.52,1,1
"Suck their dick all you want, they'll still cut your head off too m8",1,1.19,1,1
"I bet she has sucked dick, those lips touched his. Anon has now had dick on his mouth. Anon is a faggot.",1,1.19,1,1
"wuittlE tse ts4ir 58cMgrKZfd Qg1 tBz docuCkNhs fhm sX Tr t1js. pN3ple. of oolftLMs Gur fxnm ZafeUE CocY3rv0Shbe t6ll Xhen qgr zg1evnuf repark sJde is vmme AerDDrisv WeMLwmw mGacts2re pirmiMPl A9eZet bn32krTlKx sstaKj, tfD our Q2 imum86IFaj mip2QtlQt undocuBZeteZ Kure",1,0.85,0,0
i wnTna k3ZH thiU ppxdw fQ 27 bad 9Gt z know 5ma Owy ank go to jacl,1,1.09,1,0
"Listen dirty bitch slut, I know this video will make you lose what was left from your fucking head. Nevertheless, get on your knees and start worshipping my HONRY big HOLES! URL URL URL URL",1,2.06,1,1
"PUP is harder shit, don't make me laugh, you are such a massive pussy it's hilarious. Enjoy losing your virginity in your late 20's to a hooker because no one else will ever touch you, you fucking loser.",1,1.12,1,1
It would be laughable if it wasn't so pathetic. A bunch of wumao couldn't get their way so threw a hissy fit and pulled out the fucking wumao anthem in australia? You gotta be fucking kidding.,1,0.75,1,1
yook au Bq98Ln6 iD sbhP. NpfF3 Nimga so72 L 8ulaRc lobby ba dIQt deaB wiuXi8 miEudtu????,1,2.6,1,0
"I6diS is hxD 9iluhAsEt hn Aneeat PZrt6. ln Injia thdZe ms mjye fhcdl maSQgI oq hil6mNTJteB duLXk5Dg JlasA5s ygUssel UAwlary 9hwm iy 2n 7 toDlm0. Ulegns hNz you uvwt typ2MAs, oX mr eRVlosivv Kou shlpjd staz 7Pzy Lt leaYd micOs fAoy MrWE tnag cDteCm0nonNF SQMER!",1,1.63,0,0
"Ha ha ha. 'Liberals would get liberally whipped in an Islamic State before beheading'.  Those are the orgasmic visions they have for all the others. They somehow feel that they would be spared as collaborators. In Iran, each one of these liberals was killed after Izlam took over URL",1,0.96,1,1
"cs i 9CHerVnce: Not jot RlI aEu g5KT mUe xgzs, Yor arO 60l Xa8s GSys. BQt QXW CDrlol oDg gyy as ccuw xrOf",1,0.68,1,0
"That's just like the argument we find on r/worldnews, where when we put the Mars or Moon mission, everyone was like - oh but why don't you first stop shitting in your streets / raping women / killing all your lower-caste people / solving Kashmir issue etc.",1,1.5,1,0
"@IlhanMN You go fuck your self bitch! You are Anti Semitic, Anti American! Get the fuck out of Congress you disgusting bitch",1,2.2,1,1
"""That's right Goy go die for Israel and take down some dark people while you're at it"" -@RepCohen URL",1,2.71,1,1
"V zMS Atart enMoEF. ZeMvrd deohrQ 6ly'heo vouuLy or mroGWg. sralps, tM",1,1.71,0,0
"""Use that shit to kill Arabs. Not Americans"" URL",1,1.53,1,1
4tf4! bIed nuW hrcGh tarsp pn hhe Ghilw7Xine1 wo them!,1,0.86,1,0
do 6Eoe SndHe xC8ib smhae hre9TurLe,1,1.33,0,0
What in the WORLD are the gay people going to do when they finally realize that nobody gives a flying fuck what their sexuality is. All we see is someone being an insecure piece of shit.,1,1.0,1,1
ARREST & DEPORT ALL UNDOCUMENTED / ILLEGAL IMMIGRANTS / INVADERS INCLUDING THEIR FAKE/ RENTED CHILDREN / FAKE FAMILY..,1,2.06,1,1
Hw'Ys gM fYrl no Ke i Y VAssy asc ibtvj ????k???,1,2.9,1,0
M wtah thU0E sJmBh du1kcn hamBQr ohmy HuUss,1,0.61,1,0
She's a hoe. She's practically a hunk of meat. Treat her like she treats herself. We'd have less people like her if you treat them like the trash they are,1,1.19,1,1
"isKUmUc tPri4srrt rBoime of 1oIQPs of tkavj UMRNu3,TZbs akNtOeaT Mr ZdvFnmtj2i DNogldm,WGth kinU mb qnZd thi0stQTI rimeUe can noL sxBu iYs M7rrhrYst ts i4 gRF Tnd ftw iQeARd MdlyVy 4H Mid1se",1,0.63,1,0
Bitch u was at my graduation and just starred at me u ugly fuck ur hella fuckin gay u faggot ass bitch go suck gang dick bitch before i gotta go nigga mode n slap u myself u dusty ass ashy ass bitch,1,3.04,1,1
Nm fYnd I ruRunW Jcwf Io put Bn qKat,1,2.24,1,0
Another white trailer park cum dumpster who can't take a dick down her trash throat......sorry ur life sucks? Don't care. Learn how to suck a dick you dumb wanna be Megan Fox dumb cunt whore leader,1,1.95,1,1
Send these savages back to the war mongering shit holes that they came from..our governments have no right to bring people into our countries who want us dead.. URL,1,2.15,1,1
