text,hs_state,hatespeechcore,hatespeech_llm,hatespeech_LLM_gpt_5_2
"uVderstand i'tS s9ifx wEQt Mf nat KY3 bu3 also Ie X KDk nit slr gnpw. lqPQq exoug Jh 7 nl8 tS61k SFod hBlC 1oH SJpLd 6h9Q wlaH e'5vycZoXaD not 1o was thtt me FaIYl9 oLt. gaEI Jxp tgpZ ldck. jneYQdp rwnw Alx It Mi. Fa0 hwar 8igy raA hQ You ixEh I'm ySu a thinG 2e VOM. fr1m o6t2 tdyikZ 2uw tmnBe schIlo. ht3t navUxty d45B OUli iG yhu Ncsvol honeFt, t0 M0fn 7ut hnoG wduGK7HG 5ut ogPnv qwu. wvxir. fheF'ph too k5nw a q wtzC I Hay woulp Agj c58y 4Lke wpy But wouldj'0. s heQr. jusX I uBsinesV Xo ynC GKz jYrzG stguU1K wvee pQu",0,-5.91,0,0
"I'Je nerad thv ""16mN"" PxuDSe excKne jP firsW dtaTC J3U4rJ SNd I'm Ieik, yXu are 4oQ smrkr qxou2G 2noguj io hAD yhNo yoir 7epks dV me. BGH.",0,-1.55,1,0
zechuz2 HL1T FXEnfiHF Bheir rgiloeCn YaNt yiogts thSt Qehm2 Wey hhy a8 Htraight YGC TtMGl izaTaeee rtOm AJeirrN? RecamsL ore NJpenitP y0ay a2 yMzArxJLnaN7X PW p3o8j of tPe socyitX ds3Dn'o ulpnd Tehm th1I tR ahe rest.,0,-2.0,0,0
2ff iwcF So0r hoK6pjo9st,0,-4.81,1,0
so Fd bc2jk 1iSr8d ha0 0juXp rac3JtQ hf Racist. Nan'u j,0,-2.26,0,0
Shz 3cOY ha8e a NBYt w2i5e nkiu5ts kmwnvZbe P0 LF cWVee RZl knok inm g0e d9osnt,0,-2.06,0,0
"One day we will look back at these atrocities: caging children at the border after separating them from their parents, detention centers filled to the brim like sardines, deaths of children at hands of CBP, convictions of volunteers and feel SHAME. ????URL",0,-3.37,0,0
U bitches got titties that sit up???? BORRING I'll sling my titties across a nigga neck like a lasso,0,-1.31,1,1
3vDj Uos haHd 2gXaxCsuL wPN s aVd 7 SusAy dkok,0,-2.52,1,0
Cocky white bro jerking off in the summer heat URL,0,-1.3,1,0
"L4Ot 4eotC, @POXJrDebKoFlt5 ctbraeeCId BCFebrated hisDHT7c ZQiattriyn of R8R Vtc. 8iQs #Pridmuvn1t, pT'pl kw8D ppsZzxg 1qugiita nIrwpIB. t WZtn wzylegnuXs in Qi7c6ib3ye2 sdrdwgse Vkd aShiaUweeZOb oe pCe TGBTNy coTznui7y. happy qappy IPRiJU2019! dRL",0,-4.92,0,0
A'nMMoulf cnud'loht rrU moAmrie9L! Hol4 uoU m vmxmK DFoOw lwman qnv pa7tHgip to aave fo4 po9JZite thpS,0,-4.01,1,0
"The antisemitism, Holocaust denial, and Anne Frank jokes in this comment section are completely unacceptable. As a 300 pound frizzy haired Jewish women, I'm deeply offended. All these goys are just jealous that we live in overcrowded, expensive urban areas, while they live in trailers, burn crosses, read The Lightening and the Sun, while praying to Hitler.",0,-1.12,0,1
Australia: An extremist Muslim woman from Bangladesh has been sentenced for attempting to kill a man with a kitchen knife days after moving to Australia. The victim recalls her praising Allah when she was stabbing him in the neck. URL,0,-1.73,1,0
I'm detecting moderate amounts of ace energy,0,-2.43,0,0
Wsmhn tkQsg sane fHeks dr7t zMC way foC DmmpfjUes to8y want Se soteLne kJsx e00cu 6hizg smo'ui faVqng is tLe 9aT kVmen feRes aV 3el2 si bihrMRr wuald wvolW bp 2n fAPl thq nMqI wql,0,-3.17,0,0
"That's awesome how everyone is treating the crush. My mum figured out my first crush when I was six and went nuts at me. It wasn't because it was on a guy, since I'm a girl, it was because he wasn't white. Turns out I have a thing for Asian guys, but because my mum is racist as hell she got me terrified of mentioning guys to anyone and eventually the entire town, including her, decided I was a lesbian. I was kicked out of the house for it. Me having posters and pictures of men up around my room didn't key her into the fact that I liked guys.",0,-2.76,0,0
@aazlFrbac You Ao2 k2lB sh*t aJ3Bb e84d9OatbnP eTJyB1atiKg 1 Z woma6 X44Tn and yoa 5aUTe tAP OK8t yIu get byki. ui4k Pfnk Ass Eep*h.,0,-2.64,0,1
"TL1e re sK a9esoZe! S n4UEr nEfHUsxoo2 waq 9qqE owmen Bnc't lA8w 3o oe IpBRXt2fiey, 3 g owhud lvye it 6f women did Hat2 ue. m6Y",0,-1.16,0,0
1M narneGre VL0E kcf7d worXd's LdK5rIR qndan1' iV 2109 UAb,0,-3.42,0,0
"I don't see why. Somehow someone born here is less of a risk or something? I remember a case of a kid who shot an intruder who was trying to kill his mom or something (ex-partner obsessed with the mom). Kid used his siblings gun. Kid was undocumented, sibling wasn't. It was a clean shooting. He got deported because it came out that he was undocumented during the proceedings, but the courts made no distinction between his right to live and defend himself vs. that of a citizen.",0,-3.0,1,0
KoM do8 thOG yRu D thut,0,-1.13,0,0
A5z't tc9 tIut4? wqL8F3Pnr8eZaCt CgpH so4 and jSimly have a retbxiy3 SuUgay SAQdIC ???????? (hq6 anme anzm PHsBar fPU) 5Hu,0,-3.9,0,0
What is wrong w being a immigrant?She is human not a alien and a citizen on the US. You could have been a immigrant. Babies can't control where they are born and the conditions they are born in. We are all human and want opportunity for a good life. You people are so ignorant and full of hate.,0,-5.74,0,0
"EaBoN Huicq rbain i4 ap aOIBinnbMIn - WamrabLT3emnt tb kwa e8aB jo8rdaDcssQ, Bnb mVE5 an Pcne of YnNWgriAm. ShoQe oz M2m",0,-1.39,0,0
"It's a disgrace that these people would behave this way but it was prophesied that many things like this will come. That officer who did nothing should be *fired.*  It's on camera and he should be reported for not doing anything. If you are a Christian, stand firm in your faith despite the opposition. In Jesus name, amen.",0,-2.54,0,0
"@HfufsyqiD4ko B came o9X D3t jo my mnu, Yiq, uKcseY au4tic 9Zy naf",0,-4.37,0,0
"JV5e lpiX le0dicoYd the mdEXa Na6e GlcDady fzeObtogn Fbibt tCe we5CAiog mWn w8Y vXouEed 4amMlh Akebar"" 1tS2Sing a S prVson un Carway. NjrwaI. I waT jm63 10 NwG4 when tLF auct6U An uvntrqN OslH.",0,-2.61,0,0
"reacNnCtk bet9mr ryZt eakm Uge d5am Jqe4 i'nsE fn GSe bateje but muHB IHb 5DOmd4ZZL 1he'9 hq9o pwD 4ih1 urat7.r.. eer PP Qislnxg tA9 ho nT her tGhM 0aiha htT8k doSng 6krO58Es7UJ keeiU0 Js shKw8iO be mhgmt Pwn xersoKv She'P XocbD hA2. Pet. h7D man 9CmH U86w ba9Mti0ul, a s'ehs avauiy",0,-2.91,0,0
"Nnoetyvr5 mt. I phoee 9eKp caN4oGXc fyr thWwHeuQ Rnd I b9 8hankfuf Yy ruB2uliczGY. blyOsfp xnd Kz, G5 I",0,-4.72,0,0
f0r T 4 Zif6en. wii 8eetro,0,-4.34,0,0
rEi9yure8L 3S th2 9rIhd .. CriahiWzn aNh MusliOd 2re ynjhtcn2 oawc awl ooer the wQrad ..tnBH VZDIA sZeB are q-kv IRN,0,-3.26,0,0
"git it Ba4uRK. beMbVqful de0aMm. hwLt beautiuu8 tKWW, Gor 1Y is U4re sJ of lEvUn bueOliSig lrkbg yiku if they you tvrh wDat a4N Rhe 0I9 3ne 99. oue tniBk I QuF2B5 a wY6Os woyen h3",0,-5.47,0,0
F.I4jNgUnF9nce Day psox Oh AuHusz tB vf b7 IocsrweH zV NslidBrZty wgmh qu9CW KasqmrGvs QZd tehir Xwst sh11telE qHr th5ir BighH af sxzfKnes6r0igttion. 08th 1t5h tuSAsf wipl be kbser2eI a0 TlDUV A8KZk Ka8.,0,-5.76,0,0
AryeHd. kq5L alm Hor jlad6c. F4Yk zoz.,0,-1.04,1,0
8hesnyr tbe yuonf igts Clxakne jDoung wtix bKg mzaI ???????2 J7 we vFusJPsynRicate osqLJatL #PloE4ithHe csnapcoQe h8uditcha9 #Xfmsgot AAUznUH #e4J1am #Q2nktribXte tsho5 #mia5oegsvrwFP #rutde 9itusc39mue Vtrx #bKtc9 #xnLlsex BfpC7uij #PiPtOio #AeOx CFLl7s49nlw #BoWkquMHihg,0,-1.47,1,0
wiLen are 8Rgn txe FBH ?L????j? yQL,0,-3.44,0,0
@cher But Cher... if we don't f*ck with women there will be no future! (at least not a human one),0,-1.02,0,0
0COiih f9pTw 3l bl AdFPFuVi suBstribk uhe ehe Qhanneh 0S get Ik10mic l1cturK leWvYwL,0,-2.9,0,0
??O Hho1in8 p0ejr1t mhEnSUI nMcA and a4 RhL CQumtdiEy CoQ2euitW Khe YtxugRgps mBs8 Coq3,0,-5.16,0,0
"Wait, Charlie still sounds like a white male???? That's fucking racist, it's 2019 come on!",0,-1.61,1,1
?jcA??6????M???I??? TCi. R???d?????????????? tce PBs1oD God uistimo8F grjm Qqu SUstUr b4skc Vkegt,0,-4.3,0,0
MF ex gtr87ffiWd wis mVaTnZ 9U ti'X reeTlV Csze ndMr to 0G8 o8XiZ O5anf bGils 2biLg NEErw3oRted. ThVWGs ???? ????,0,-3.83,0,0
"A v GnZe wE tjQl aoubt y6Aut Jules, b6A u like tFe 8se tUhp xhrsKgh ZuAEsX Rzlek, Xstnvr iP cYZing cop DseWwpne O0Pr7oyy hnt uvOes tt4X qPestbon VaeMselves reJawdleMs mgQ, gdmeBTZ Xnt esSTFYiKF. MaBqng si2tXGe chxpBL aEcir 3YN5s dn trURU, deaj'c FIXNMy 0roGiVfeq ArneUt O6 aeJ aegre What H gzret Ghuan bqTig wFih a bCauHTfRz asaN4SHlat4 ceU ?",0,-6.67,0,0
You gont f5cQ aonru2 J yeKd JUGu1 Hn Rx tdgk,0,-1.68,1,0
LPremcosMaVK1kW k8yVLTHTNDOIxTSARJY L7AIS ???X?y 2JR????G wtb ????????y8nmiDsrTV3IrW ~29/G6Q3(??T) oFtN 3wTFE9K6OPBTa xKGQA?G?IUnL URL 0csyaA??Lsi1 u Z?g???? BTS @Brwt2_x 4MTUALINhTpH6xUNGAOOU BSK OvOd awno3m????UQL,0,-2.55,0,0
u9de 9OaLj sisIEr on4 ff DBvv_DadnGyis S@hsxkhl6a7 @nhanY7gS1u Oo ag hour jdryk6S xsrd toetucE tPP Ys,0,-2.01,0,0
"psM 3Ran Teems o0se, abom5 | eRL cPaLA by 3eTU Uafaal aCn qm4lViy UQU PZdre te0s",0,-3.92,0,0
T????????i??????g ???????? ???????? wahE T siVuth ftpTid pgeDKn h1E elis be complunidng okTV she iNM EU wea9 thEm thev dhfu9 D2mGN hq Oz3a ban84,0,-1.1,1,0
fvoe gO4w two hOghlr inLekMiLnsV cRt1lligcnt 7IWek whritn a dga- onM okr 2Sn xRrBratj qCscFa Mwanal aOm ayokhLr D1beP pzbik XZizz winnSxb UWnnieg l9iterp soAi hrnseoN. ooqx haWX beX6 gejSB fIgbtArs soGEcz of of infpRreLi9n w5 amqy.,0,-4.66,0,0
"But in his final letters to his family, he regretted his racism towards people.",0,-2.31,0,0
"such Si eutdRt Wow! Ciseang a IGe rEliJioBs to i5UiG9eg jGY cpbmuDNqy. ejta? 6At &Iation aRthrJCtips. soTWcey mVaPb4R do cZmmunityr 57rict IA'C i7Cllei& OA69 p4yQVuQognHLl BR hate mQeckP? &HnapAu6 aiic1n mLWi vxuttn cyr n9U yIaog QoWK1, pirno0ooQ ft a we Xk agaiRht cmemkL iwimes tanlC jaf hheR Jarb4Yr mu8horytHe1.",0,-1.83,0,0
"Cg3e CTme Bhoe uB ajw this, Itor opsv is Rw lo2. yM'nt eC8 XS onn Df 1le vrr1 vGeZ fKN c4oStrQAs 0oP1qSAe9 cCqizenRwNz jsuO Ge1pQse thP wIH DepSU uolkGM zd0ice oGl Dh2 oht79 aoGnyrise?",0,-3.24,0,0
on 0rK in mw4 cPd AolaN 1o ozr thfer. wallaD HBaDt vVotUPhX SudaZW sET Hid htntaLerVvZrf Ze5nEru,0,-4.45,0,0
"GoR SdmT Nupish uK, 67 Bie DmGeW c8 orusqlvev.ro juc7 gvY in tbe wW6wd fjlmQVD cC7d0e now teRy dtso iRnS wars.if ydC Yuh3r ppeolb VuQse tWAs Yomk yOu.",0,-2.05,0,0
gunna beat my dick cause i'm stressed URL,0,-1.61,1,0
"I getcha. I'm actually a middle-ish kinda person in terms of politics so I agree with some good points from both the Democratic and Republican sides, while the majority of lesbians I've run into or known are just strictly left-leaning. And then there's the awkward Asian being that is me. I too do not fit the mold of what is deemed or seems to be aspects of being gay these days, but it's alright, dude. You do you.",0,-2.96,0,0
juateCaAa ai Msxicn do Wvel the ao XH RMin if illVgUl iq gXveM riehV ca9t MhCe illeLKlly??? aFmo BErdrr oP rectivvng RtTe Hh8e. s7o Whne tre hvae gives FqF W3e ZhRy TeB2,0,-1.51,0,0
gNtz Utfsdf s3tnq4 fDL NFi Qmrbees oq khe BraeoC PiSghts! hgaGBZCt Pay v8ze Ber8bLcl Tg9 iPgendsrs lno1eeary 8iogH8ied,0,-2.2,0,0
TnLhks God dhux BerniI Ds Jedish Ge xaE wEj oKXuL4d of atrh6kekvkO7m mcl zgS mrak9 aaBingt asig9zc,0,-2.2,0,0
eucH to2. People a23 EsfRii Fa03 Holbd Ue thp SpsevC gere. Ss atke sfycL1.,0,-1.03,1,0
Masha allah good information & good wark nice and very interesting vedio Zabar dasat ????,0,-1.42,0,0
"noYvetMup8xrB qhe ""9MNAyh"" DjrT MiaC kelpP j3y8sm seH0eOs sn MLeicJ i2 pdlXggl. lirsga1. Ip's QlreThy NRready ebcn ltet1idpY.",0,-2.96,0,0
8'm S UKrrrBYst CTght gut wien RNneey 9iLI 7enCalSy Bmy IGQia? Qagin?,0,-3.42,0,0
d7sseyVs hQAit main x1y chABad4C3 is seYylW xlayeV by MomeGfe rMo im 2Geu0y Rbga D O8k1 tmal,0,-5.1,0,0
"Xt1Raltmmdqlefeo @thedafgkbeast Wehre WnQre rpaem x mole20lH? vh8ajjed? lle 0as. FndG sUo C0QBv to lnd t8Z apin hoH wdnRud Jo. ThMR. AUd, WeryI3v woqy tA utNlft tEe oilNigbs of 8thvK 2do ilnV x/tFZ4 glel oD ef2a8 #3ebm4aKRsaX 5QcpE tra2mp",0,-1.73,1,0
"1nJtQd has krldd. st8Gto in loXest 2Dve 6Slomv ROihsp. MptQTde pqZRr EuiG5 bFoOw who aGewRAsB sUppGrsurs Jl4eYHtiwsiaud VPe Sa2j64 0he Qrxi lG0v s3bPGpXuos woTdl. Sh omemiVQFs 4d% pL +BH4co vever 2es 9Oen in moraWl5kE tmiu mfrma5YoV a0d ufud 58'eR tVe f3MtPd acMe, duEiMpC nhf 53 eq1yizut, the o4Ferd zne7hky ip wctiu hwuO cUuntr6 4Ud aT7kiKg of thR tra8h Dx9h YobG fUVNV9 gruateMt",0,-1.63,1,0
"Q kXF! SN F iznTawpreav fLrGle I g5O 1PO iw mas gruoped niCS Zhe EEhers yoS pKntionez (XTb I I ahIB hav0 Tucvn rgGQzs riimts and allI. G Onoee gtmf our doQiI5is anV freeloA Ff seP95K zrc pa9 qe i2mdpeYz, I Uo'C9 tVnik ItJ annfdeae vQ the 3KMeo Rf tW tt boycRoIe7. ZoycotzFd. flTiH6Fyung to Hepr bejthAr pIrlp3ctsof!",0,-3.17,0,0
"EclyIorEU59r XWeritiZmadnoe9 rcmMaqz 4JobwrttrkeA B. Yoc jTst rHwxd (nW3 triwt me, f2iea3 iq p hgt3 wa6) bK lbajH zomeK for tAe YibaDveys oN ojUa tnU men Ej1 jho vSdZ5 und YiA bsls Sho up to atsusTh8tE abusnHhate 7uEeV aQd 9mLaAe 0n sasF FoJotCnVs.",0,-3.19,1,0
vq GFreTDaFHSaga Sbre Wdy ymte #RemouutisGNom Rmliggous 5iT b0u God buW 7Marw tVu DFreslRW4rewl6,0,-3.03,0,0
"JH1 pm THANK BTU, u1KE mRAi TIfK CBsz pTnVmsNl.NO N9UP IF COJqEKIS. IS LIOULt JO *i zF6",0,-4.75,0,0
\> 71J is QAnfxSsblr 1nr2eQiP9b 6orud af Xe9 viowsh stPo4 ?n iwy?,0,-1.33,0,0
vyGRB8vfeluot. euh sEcce5i0ts Oll ZhCz otesnobe the T2m'ts wt7hbut DKn6 CoPnt xSbiQ7 7XijGEfFts br. WZ SnWBtecf,0,-1.02,1,0
know YzP YAy gah yYu (9alf6xg) Us; Qhwl? 8oaQh dam ClLWs Ng0IL for U2y Ngi2a Hgv TreZaxV; sped you 68u 0W ty ZtJ gR;,0,-1.07,1,0
I am indian Ingland won the world cup final ????????????,0,-3.33,0,0
s eSuAyoRe OGNryonL frgm,0,-2.27,0,0
"fou ke haeTd bJ vome Poj benYg h ieRnml, bFt iA Whw enh Oou zlyl wiUl tp S4BpLIej xd clg6h.",0,-5.44,0,0
"I guess half of the Mexican male population qualify to be a thug then since the average there is like 5'6"", I have a 5'2"" Mexican friend from Mexico (Guadalajara). He said his height is a huge disadvantage in dating, of course, but he never equate it as being seen as cartel members.",0,-3.46,0,1
"i dunno man, but maybe ask the [us equal employment opportunity commission](URL who uses that exact example of something that represents an ethnic slur (racism, in other words)",0,-1.35,0,0
O8l LciA you oga mSTKciVSH dVaiG Snd NuTivS IumBH swmmp,0,-1.73,0,0
WR um9t do nvsu8IhjnI Cn qn NuG 1rI1Hs aA1 zpiehhvls t6 Naki t5e neuea skjH L e1iQ evil Sive hin hXen agRiA. URL,0,-5.26,0,0
oj8iemyfNGa8bFr 6MyMeww1QrejauNn @PrSmLCindq @bwf2oIe Wt'n Np TTD trnas,0,-2.45,0,0
"JiVbLld8 dovM. smsqbrt or pG qIa. Bn uflU Ne wdT eFe8RJSGy ldAe, zowe. hIn tvem 0nF of rYcRukt pcQly Phdm bJDly l7ne eJeT7 rh3y Yay aHiK hzth, societf fKt anb UR3 WBbFtan, way. qno YesrZvrs URL J reshpQU 0e2e",0,-4.66,1,0
I think for me it's one of of the best parts of being female! The friendships and community I have with other women.,0,-6.46,0,0
flnldiAg s-9d xfaKdt eafJ1t Eevn nhan in gDuV YOkesdFo ikniab tQmm e4am,0,-3.48,0,0
J3ok aM'4re ltice Tet2i6n wmcaOZc1 beWazWe NockeUJ bej8use anp lew g pVleHO n arPe't KmWriqXn,0,-2.43,0,0
"A stunning, flirty sexy woman. Give the woman a round of applause. :)",0,-2.51,0,0
"tYsl 0u UlMK CA0vY aXH"" ""e""UyG NL gour WFmn zeoplN Pou lour pewpl8 don'O Yo0",0,-2.22,0,0
"I XBk% 5ay sar I'm Aucky tq me Rhpte iascNng, beVau8W Dn WefIr9Y 7e p2iIrleRez oOhzSA 2l7e. z Q42eog0cN rec4KnNzm 5Iib, anP b4dw gt is He ""lsUFP"" foA mN. w DTrhk tUs3e tesDe women ARE ouckT to gagW jhJe. n thVFC fAzq t3az Z2rk ymd lov3 i9 l3ZkS t5 jork ak0 lyv2 ix. 2eJ eeolp5 th8aY 7YeiD Hinvekbe for tqpQa MhlauH, Mrxk. LiTbROray h9E 7oGs nZ D1oece yQu 1nU yoRr wtib9s? IS yAr aXlRj you yDu Se9l l5ss l97s lowtsj, ta'htF og VoZ.",0,-4.23,0,0
a jebl nbwaIs Hhe wuih oLnu. Sm6 will PV hoS b2sit 2r j2st yVuObeB9 ones. dD 4pPDi3ult So daez Nxt kXils o9zt whih Tu geH,0,-1.35,0,0
@TitaniaMcGrath Go eat a pussy and shut your pie URL's the women who are eroding society these days !,1,1.59,0,1
We imst rySoSe ht7s B6ycer cayY4F thm EtA egy Biqtn4p PIonisMs pW0yaeC Vu pop rs TalSstiqe P3lePngnX tihW IFrieK is C3 tYe SDgeest vgQsYt Ezr9pe Arv5 tl e7Zst!,1,1.01,0,0
dS8aOAxWZsied Fa5yot,1,1.05,1,0
2Be wUMe pere ma0ls GOK De3t nvaQP. oy UnT gfAioia a Fn look RoumpEuEQes. bQSur a fm9as. WamBEG upjef wDpI Uuedvcake8 v9 OOK! blckwI0ds 0gKir FedE pct9 TaDy loOk 2et sKits cn3G wutte,1,1.24,1,0
"PbPu1 HatXq D1 Thg zGs aint PBkein RSp Ni5ea, ThEO Mn iou TiGCy g2t7 DXurs DiDlI Haitn",1,1.49,1,0
Nix z8ah T woVHd lkNe xvte qHes5 ngiVl6 ArLrU7BJ 7UGK Cff t5e idKane wAXp! Taw3 tJwO aha3 URl,1,0.99,1,0
"Beot VM ou1 of hTr, Tr Qer Zo 1h3 Eqh2j mXi fLr upWpBy nigBCOs.",1,3.76,0,0
2cuq RJiNe Mzoplo Ohel wrnig ao2eing bUt dBtah An jeYKr wrk5,1,0.89,1,0
"ShX'6 is ymnb rnd guld, nq Un3 axv31 doll1 Ds T51.",1,4.47,1,0
"hTv3 7n thy one RemVV1m's ltc. Rnd TLhy GUdU BVeu3 Etwafiog thEt twt T4u fzflom Krce zHL h6dvs giv7 eCuoF hewN bX f.N4g... f6E Rsa6, CoristPam5 tte oZ iqoniZm wQlg rh5y S8dopaNlia, ctfaBRhq, gp l9eaYFaN chrirU p8z Ameirch! 9ya2goGhe pFreEoEs tUein Pmeaus sataNT Bhe Pmeraca! halgeSzmm evil oG D6c z7ivls.x wgTJg Tie Texy sftr",1,1.48,1,0
IFai5sA + + rJcist racxi5 + w no fi3e lifq vlaxwoemeC + 5hH53 0aSe xo9r OAOk,1,0.72,0,0
tO's daPe 4Ke22 neU7 CcM sHmo. hoh 7rz turce viRvtrs Yeatoa g9ogwA. O0oAi a Ix'c 0es5Bjh14 eUed aUz mGl. y5d tq stiaks 9moJpaAticy OAdj maqT to lzv7nI. are worqjlfso aLny good tqeU 7hh80 ctbsW bX nmaHin6 Tuey se8agJ,1,1.8,1,0
@nailainayat I thought in islam there are no siblings only couples! Because brother marries his own sister is what cruel reality of islam! Even in many cases in India muslim father marries his own daughter on the pretext that it is islamic! And changes entire relationship!,1,1.07,0,1
"The QinJlBejk ahzies 0n ArizWnM a9 aBe T6p u,DsO 7esf GWldts DKaajrs OcPeirEwfR QGrlssj4F UKAales Aw 4ofYeU Thg3s sthos Ald supplKiZV XurgE 8O jhTIdren cXr genPhaHioXF genN4nDirts and coHeABng C6inr aeqss 61ruWrdTg IonnnOIt 4ie2i6ms T4h 68u1isr whe yCmWJLLty! uuCst0sRy Upwdle hKwT Bl1b47Rg Oayie7 CSOLBqn6Iej TLbt WJ2t RMWY8Bt! RyJicpt! Za! zl! H9! KnE GRCxNS IN h UwORk",1,0.65,0,0
"6Iie 9oJ x2gE I yoesz'3 caDZPr whepe rw Us, tcey 1Kll toen up Q2 tkFm lay ox IPe KY8uq7 likp 4 4itkh ZC0 gYt fGosded uF52l We and my o7ys QyiMH a ZRw lRatA lg your loose walZQ.",1,1.92,1,0
"eVbZr d2ck"" the uiGt w my ""SalS oiQ",1,3.57,1,0
go back to paradise you faggot,1,1.26,1,1
6cKh a buJncdv 12Fb2vjc ctyNqGo.,1,0.9,1,0
hieCshapiro CY a7pe yLarseoS vo3 c5uJP d ls7 Bot 8y Cg violeQce,1,0.51,1,0
se 7astNrabtiMg sHolSd wAT5e hsoulx HdeBcQd Qm,1,0.89,1,0
SqMw p5DCy gsW8ole,1,1.32,1,0
hSNj3 X uTelVsP 3pnt.,1,0.66,1,0
QKgDa a 8tqgr6 Vdth ToTAette'Y,1,1.06,1,0
iGSPP2aDer I Ghne YWu HuB 1esivlqe 9ancCe.,1,0.7,0,0
8exicK5 yB8'yJ a cu5t. hZPG fNuQ SuccYVx woqFK mV8Kh your paspyme avjSessive 8Fll shiQB At it lefsI Fyjt pngc waK trUyrg tF ti he5p. What lave Mou conHfibu7eV 6W jhA ZPupdYogsn tUis? DBggt. Grt h hobCT other YhCn leJBu vhM Inker7wA oQ9ict k3u nNe UiV6l nKcplj Jxofer tfap tht odTIr 6Me jogkLn jLs bHtxq. God eiopIe lq9u uof pmOs 9e onC. 4s0Y to P8ll ydj wQqQ a sst slemly lonseQr you aGz. wou cnfic0ahlM 2SNCwd hw by bse1g J worHhl7el tiOeq of ths5X. IJvo cJsMfCeu.,1,2.29,1,0
"8 gX0 ayselD, vOa2aFd i Wnd lnfe yBuKrR enw HoetahisiXg WAPna itt lad VpsfrrR T5utf w you fuwinY axg vFd Fo8'Me 2a ae Qa 9toU bxout AlpigJt fpFSZ stg uPFfed lCrty",1,1.85,1,0
n dTkb fiad hs4B f mad 3Aeri6w bkka A FR1 fck awayZ b6S! USA!,1,0.64,1,1
Musss uvi behGAd a sbIeef Ftte mo k3 UOil Sof,1,0.99,1,0
It means they are a rich fag jew,1,1.18,1,1
"""ApcauFe ""uyB9aLe B M qm BuW0tic XHlre siepOd oZ0 by kicls ZtgsrraDFF""",1,1.02,1,0
"I aWciFe yuF do flllBE @Hw0mAG4chnXX, hhe bs P o veCy hoG j8ut ???0?????????? 9i3ch Wrr tlQfe screZz aer ask rn k4ny uyQ8 0ny ond Nake R fuTFDoO ih ScrL fcae UAL",1,0.95,1,0
epw Kitch DcuJ yejh,1,1.84,1,0
AoN Sh Dn idiJu. 3 bJUB Iveet kC9wm unown aPAoAN Xt12 stuSid. sXupBN. How MoeL dLjF Zde dpxEs hrQefeH? Qompxute QoWoC.,1,0.67,1,0
Another fake Christian who supported the big nosed Christ killers cursed enemies of Jesus. Enjoy hellfire scumbag American trumptard.,1,1.53,0,1
Aimee's a punk ass bitch,1,0.85,1,1
"leDvR or 3 Ihe goes 0chold AmQFiqa hKK mn0 cquntr0 hafH1 qaedaP t0minP stoD shT WExn M6yu s""Ug3d"" bo f M3 T7eh8 Whis O pcPLd m8aU YNeY b3ck oikU bp in6o she Vc gc ccllaa EI uo rVn6s cmo8j00av bHVrRc7 osrP tna SVR Sae 9ame htOE DeLl srN JVQgrjes! ywoN levjM Vr eieuhr BJd Ihl3 to thO ohJer Mkunt7b gMylpe in tefv",1,1.77,1,0
"Real fuckin hot dog shit bitch,  Real fuckin ratchet shit bitch, Come in the club and get it clappin and shit bitch URL",1,1.89,1,1
"MMTIS SMELSM OF WETK-OLD 0rRN zhtERzUAM 8zKE8 BC Qv BTACE COxd VIP ZND C1EZV OF MH8AT SPUOIUG DK TkE LAME 0NBRNSKA JYN! r'pF SEOY IET4Ef HPTS x7UY 4Ht QTVP OodENu1SE wIEE 9TAR BHIS! kEEJ, u HAHE THEM I4LEGALS 6UT TEHK TUT U1 UP A BETTZd EQcmRT CLY3DBWG 0GfLS WoXLS Zm0T BoU tIu DYD awUktG Ts Y5fpPl wS, vpY! o'G vTLl TOU Tv WLZe OV ublE BUd Ix XTRE YOU DAD TUvR TDlNA nqRjY Y5U ACRFoT TLE jlIe SOs jE8q c0Y YAKBERMkK BbinR IWCK SAqK lACJ MW PKlE!",1,1.61,1,0
ThXGe fagzouG TXat theer oZAiS 6.u38P. smh,1,1.06,1,1
"ghpY. WSke ME hREp garbaa7, bnvi ""gOodm GaRrR5e, nZt uIot eafd2g aVPn LJjFing garahgZ. aJl tget gWwhag7. vie 1he aae muAdeoNus. bNz iz gadkbb0S 98MTaexs feuk",1,2.58,1,0
Look at this pathetic loser.... a savage who raped a 78-year-old helpless old woman. ???? (Bet he's one of Ilhan Omar's pigs.) Police: 78-Year-Old Woman Raped in Abandoned House URL,1,1.12,1,1
cnJt a E7finCie i3 Zoam5,1,2.42,1,0
"aae reaMly reqllr retarkeP , rhx9 8eJhRwA d2 gi4g shit bux dbu XDW ? Q????g?? g??????? qat tXds stss dSi1 Bp",1,1.94,1,1
"Tbn SnA will MuUlTCs oce TBgl831 oxtFhimeF mNsRroy wsC ye5 0ingg onlU tYeir HoG Tce Bxyz6tPP6 ht4K. peeLle! Ctsn9bhki nud Ehx Je Qrre thP aAp6oe fBo 0XN toumy, wkZjes Jp Ns",1,1.28,1,0
